"","GNIS_NAME.x","Month.x","Gear.x","Database.x","Party.x","RepeatID","F_MAUG_HIS.x","GNIS_NAME.y","Month.y","Gear.y","Database.y","Party.y","F_MAUG_HIS.y"
"1","Coal Creek",0,"Electrofishing","Propst 1982","David Propst",462,1.28982801,"Coal Creek",7,"Electrofishing","EPA NRSA 2008-2009","",1.33224029
"2","East Plum Creek",0,"Electrofishing","Propst 1982","David Propst",461,1.78464158,"East Plum Creek",7,"Electrofishing","EPA NRSA 2008-2009","",1.95247119
"3","West Plum Creek",0,"Electrofishing","Propst 1982","David Propst",460,1.66040586,"West Plum Creek",7,"Electrofishing","EPA NRSA 2008-2009","",0.74130352
"4","South Platte River",0,"Electrofishing","Propst 1982","David Propst",457,658.1175771,"South Platte River",8,"Electrofishing","EPA NRSA 2018-2019","",658.1175771
"5","Cache la Poudre River",0,"","Haworth & Bestgen 2024","",455,368.4412024,"Cache la Poudre River",0,"","Haworth & Bestgen 2024","",368.4412024
"6","Cache la Poudre River",0,"","Haworth & Bestgen 2024","",454,367.5186986,"Cache la Poudre River",0,"","Haworth & Bestgen 2024","",367.5186986
"7","Cache la Poudre River",0,"","Haworth & Bestgen 2024","",453,367.456823,"Cache la Poudre River",0,"","Haworth & Bestgen 2024","",367.456823
"8","Cache la Poudre River",0,"","Haworth & Bestgen 2024","",452,367.3532341,"Cache la Poudre River",0,"","Haworth & Bestgen 2024","",367.3532341
"9","Cherry Creek",0,"Electrofishing","RivFishTime","",451,4.75554837,"Cherry Creek",0,"Electrofishing","RivFishTime","",4.75554837
"10","Big Warm Creek",7,"Seine","Stagliano 2007","Stagliano",450,1.50306956,"Big Warm Creek",10,"Seine","FishMT","Nagel",1.72279683
"11","Peoples Creek",8,"Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert",449,40.54020368,"Peoples Creek",10,"Seine","FishMT","Nagel",40.54020368
"12","",8,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",448,18.84535459,"Rock Creek",8,"Seine","FishMT","Krebs, Cody",18.84535459
"13","Plentywood Creek",0,"S","Kirk 2020","MFWP Data",447,4.16872884,"Plentywood Creek",8,"Seine","FishMT","Krebs, Cody",4.35379971
"14","Beaver Creek",10,"0","MT Natural Heritage Program","Dood, Arnie and Gould",446,15.20933836,"Beaver Creek",8,"Seine","FishMT","Krebs, Cody",15.20933836
"15","Eagle Creek",8,"Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",445,1.53502095,"Eagle Creek",9,"Seine","FishMT","Krebs, Cody",4.13818713
"16","Otter Creek",0,"Seine","Clancy et al. 1980","C. Clancy",444,21.60058167,"Otter Creek",6,"0 | | | |","Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Inf","0 | Collector(s): Peterson, Sturgis, Murray, Davidson | Collector(s): Peterson, Sturgis, Murray, Davidson | Collector(s): Peterson, Sturgis, Murray, Davidson | Collector(s): Peterson, Sturgis, Murray, Davidson",21.60058167
"17","Otter Creek",0,"Seine","Clancy et al. 1980","C. Clancy",443,17.31613485,"Otter Creek",7,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | 0","Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Montana Fish, Wildlife & Parks | MT Natural Heritage Program","| | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert G.",15.7367145
"18","Otter Creek",0,"Seine","Clancy et al. 1980","C. Clancy",442,13.97816946,"Otter Creek",7,"0","MT Natural Heritage Program","Stagliano, David",13.97816946
"19","Otter Creek",0,"Seine","Clancy et al. 1980","C. Clancy",441,9.38222892,"Otter Creek",6,"Bag seine | Bag seine | Bag seine","Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos)","Collector(s): D. Peterson | Collector(s): D. Peterson | Collector(s): D. Peterson",9.38222892
"20","Black Thunder Creek",6,"Seine | Seine | Seine | Seine | Seine | Seine | Bag Seine | Bag Seine | Bag Seine | Bag Seine | Bag Seine","Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facili","Collector(s): Christina E. Barrineau, Rosa McIver | Collector(s): Christina E. Barrineau, Rosa McIver | Collector(s): Christina E. Barrineau, Rosa McIver | Collector(s): Christina E. Barrineau, Rosa McIver | Collector(s): Christina E. Barrineau, Rosa McI",440,24.55640329,"Black Thunder Creek",7,"Seine","UWYO","Clancy, Humphrey",24.55640329
"21","Beaver Creek",7,"Seine","MFISH","0",439,5.20791766,"Beaver Creek",7,"Seine","UWYO","Clancy, Clancy, Humphrey",5.20791766
"22","McDonald Creek",8,"Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Frank, Theresa | Frank, Theresa | Frank, Theresa | Frank, Theresa | Frank, Theresa",438,12.19237738,"McDonald Creek",7,"Seine","UWYO","Clancy, Humphrey, Weatherby, McNabb",12.19237738
"23","Mizpah Creek",8,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce | Rehwinkel, Bruce",436,26.404976,"Mizpah Creek",8,"Seine","UWYO","Clancy, Newkirk, Capone",25.96202185
"24","Tie Creek",8,"Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",435,1.74553524,"Tie Creek",8,"Seine","UWYO","Rieger et al",1.74553524
"25","Ranch Creek",0,"Seine","University of Wyoming Powder River dataset","MFWP",434,1.60889855,"Ranch Creek",7,"Seine","UWYO","Rieger et al",1.73725458
"26","Sarpy Creek",8,"Electrofishing","Clancey 1978","",433,6.82317961,"Sarpy Creek",7,"Seine","UWYO","Clancy, Rieger",6.82317961
"27","Rosebud Creek",7,"Beach Seine | Beach Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks | Montana Fish, Wildlife & Parks","Tribby, Taylor, Hunziker | Tribby, Taylor, Hunziker | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike",432,1.69188453,"Rosebud Creek",7,"Seine","UWYO","Clancy, Newkirk, Hamilton",1.69188453
"28","Bitter Creek",9,"0","MT Natural Heritage Program","Bramblett, Robert G.",431,4.15185939,"Bitter Creek",8,"Seine","UWYO","Rieger et al",4.15185939
"29","Crazy Woman Creek",7,"Bag seine 25' | Bag seine 25' | Bag seine 25' | Bag seine 25' | Bag seine 25' | Bag seine 25'","Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facility MSB Fish Collection (Arctos) | Global Biodiversity Information Facili","Collector(s): David J. Zafft, J. Isaacs, K. Lang | Collector(s): David J. Zafft, J. Isaacs, K. Lang | Collector(s): David J. Zafft, J. Isaacs, K. Lang | Collector(s): David J. Zafft, J. Isaacs, K. Lang | Collector(s): David J. Zafft, J. Isaacs, K. Lang |",430,38.03778631,"Crazy Woman Creek",7,"Seine","UWYO","Rieger et al",38.03778631
"30","South Fork Powder River",7,"Bag Seine | Bag Seine | Bag Seine","Wyoming Game & Fish Dept","GK AC PB PM | GK AC PB PM | GK AC PB PM",429,15.08263732,"South Fork Powder River",7,"Seine","UWYO","Rieger et al",15.08263732
"31","Inyan Kara Creek",0,"E/S","Kirk 2020","Patton 1998",428,17.32633867,"Inyan Kara Creek",7,"Seine","UWYO","Rieger et al",17.32633867
"32","Caballo Creek",0,"E","Kirk 2020","Peterson et al. 2009",427,12.21319442,"Caballo Creek",8,"Seine","UWYO","Rieger et al",12.13896735
"33","Antelope Creek",0,"E","Kirk 2020","Peterson et al. 2009",426,35.52274325,"Antelope Creek",7,"Seine","UWYO","Rieger et al",36.36976999
"34","",7,"Bag Seine | Bag Seine | Bag Seine | Bag Seine | Bag Seine","Wyoming Game & Fish Dept","cb | cb | cb | cb | cb",425,10.65052201,"Lance Creek",7,"Seine","UWYO","Rieger et al",11.0755964
"35","Indian Creek",7,"| | | | |","Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers","Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter",424,1.78893325,"Indian Creek",7,"Seine","UWYO","Rieger et al",2.0876343
"36","",0,"NET","Kirk 2020","Copes 1970",423,8.52700585,"Sand Creek",8,"Seine","UWYO","Clancy, Capone, Hamilton",4.16455154
"37","Pumpkin Creek",9,"Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine","Montana Fish, Wildlife & Parks","Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert | Bramblett, Robert",422,21.7865502,"Pumpkin Creek",8,"Seine","UWYO","Clancy,Weatherby,Humphrey,McNabb,Tayloe",0.78631384
