,Species,FlowAvg,FlowMedian
1,BCT,809.2911996,1185.26039
2,BG,4850.998806,1163.822799
3,BHSU,208.4985873,36.97010789
4,BHxWSU,163.1562079,89.02398555
5,BLBH,295.4416887,21.60058167
6,BLCR,5724.404097,5518.083054
7,BMBUF,5822.207347,5518.083054
8,BMSH,317.6993818,47.18497001
9,BRMN,266.9931245,22.5839814
10,BRSB,1703.646298,15.57392027
11,BSU,7367.554716,5824.550261
12,CARP,2859.648163,259.9984557
13,CCAT,2966.085904,388.1853147
14,CIS,5698.267351,6431.306469
15,CMSH,244.4853981,82.33099307
16,COLCOT,77.02867391,7.644951245
17,CRCH,137.5187906,12.42794777
18,CRCT,24.30182586,2.72102907
19,CUT,255.2400491,19.76956414
20,DRUM,7137.017722,5821.633013
21,EB,35.51651174,2.78390404
22,EMSH,6174.915579,5518.083054
23,FHCH,2391.044713,223.9378996
24,FHMN,454.5549447,30.34474796
25,FMSU,251.1832336,72.14958137
26,FMxBHSU,335.6492119,21.30791436
27,FMxWSU,211.6793796,56.03358963
28,FSDC,5.70909193,0.75873573
29,GAM,1085.526406,1484.869312
30,GAR,1243.872827,1242.396338
31,GDF,16.37897759,13.82198064
32,GE,4533.802062,1246.825804
33,GILA,218.5663593,56.85465208
34,GR,76.49150644,5.52875162
35,GSH,118.0255388,17.08686056
36,GSUN,1053.77583,47.33956798
37,GZS,576.4173337,325.4887863
38,HHCH,144.7276645,250.5861079
39,IOWA,210.9005265,29.046444
40,JDT,308.6047124,89.83033698
41,KOK,490.5871452,78.75734071
42,LING,4999.624888,1285.91902
43,LKCH,337.9492829,12.47770845
44,LL,686.6823813,25.22190404
45,LMB,2496.211568,112.2688886
46,LNDC,603.2184638,31.50430946
47,LNSU,2155.249697,143.0134503
48,LSCH,14.38090586,2.09057404
49,LT,943.9032935,1185.264826
50,LWF,5201.307828,6431.306469
51,MTSU,56.35011887,12.75133878
52,MWF,1916.055734,96.31391461
53,NP,4085.338078,1242.396338
54,NPDC,110.1044939,5.41557451
55,NRBDC,342.112437,4.00970041
56,ODT,424.3204147,21.26715415
57,ONC,2550.28967,111.4913424
58,PF,6129.883478,6127.928365
59,PKF,817.485841,38.01125962
60,PLMN,2368.500493,125.7074606
61,PLSU,1153.709103,12.49715873
62,PSTRG,6597.749919,5824.550261
63,PTMN,135.6230909,35.52274325
64,PUMP,5746.127241,4688.692915
65,QBK,995.2286856,1224.133398
66,RB,1193.774806,30.10997453
67,RBSM,6668.971878,6431.306469
68,RCSU,3425.556079,413.8239871
69,RDSH,498.4193211,262.4848594
70,RKB,185.0162516,30.74821169
71,RMCOT,583.2620818,7.03368863
72,RSSH,138.6105896,40.58051544
73,RTCH,150.6998603,55.98297679
74,SCAT,1761.361403,182.1342389
75,SDSH,478.0672708,56.68568746
76,SFCH,7403.544808,6813.863055
77,SGR,5368.934881,4669.239163
78,SHRH,3195.338621,395.6607585
79,SMB,4843.219282,440.034094
80,SMBUF,6590.424761,5821.633013
81,SMMN,192.4518114,87.07962444
82,SPDC,80.01191064,20.46942094
83,SPK,3.57267952,3.57267952
84,SPSH,2802.758241,1120.23312
85,SRCT,417.0726569,72.23785636
86,SSTRG,5618.982941,5824.550261
87,STCH,2646.355856,413.8239871
88,STR,226.1325827,19.50043439
89,TGT,36.86148947,7.46699898
90,UTSU,36.23435294,36.23435294
91,WBS,1717.084842,571.944034
92,WCT,48.04292539,3.02562913
93,WE,4569.917635,1650.085996
94,WHCR,7964.134114,7746.279644
95,WS_PLMN,5446.431579,1246.826342
96,WSMN,4329.514953,411.3827514
97,WSU,980.4560941,29.81080484
98,YCT,1507.296971,35.40355903
99,YLBH,2458.210744,203.3101995
100,YP,2589.064108,524.3212816
,MOTCOT,330.1453779,7.339319938
