,rid,pid,GNIS_NA,HUC6,STATE,OBSPRED,TAILWAT,ELEV,CANOPY,SLOPE,PRECIP,CUMDRAI,Y_COORD,NLCD11P,BFI,temp,S30_204,S32_208,RepetID,Yrange,size,F_BFI_H,barrier,length,numSpE,rchChng,NativNt,pNat,pComm,prsGlcE,prsGlcL,pisc,nClnzSp,FHMN,LNDC,CRCH,PKF,SDSH,LNSU,WSU,EB,CMSH,STR,JDT,BRSB,SMB,GSUN,CARP,YP,LL,PTMN,RB,LMB,MWF,NRBDC,LKCH,BRMN,IOWA,BLBH,NP,WSMN,PLMN,SCAT,SHRH,NPDC,WHCR,RKB,GSH,FHCH,SGR,WE,RCSU,PUMP,CCAT,RMCOT,PLSU,WS_PLMN,GE,ONC,SPSH,SPDC,MTSU,RMCT,RSSH,COLCOT,EMSH,HYBOG,BMSH,BHSU,FMSU,FMxWSU,DRUM,SMBUF,BMBUF,ODT,BLCR,FSDC,HHCH,GDF,BG,RDSH,GAM,GZS,TGT,YLBH,STCH,GILA,LING,QBK,SPK,LSCH,WCT,RTCH,SSTRG,LWF,WBS,SFCH,PSTRG,BSU,CIS,PF,GR,SMMN,BHxWSU,KOK,LT,snapdst,PU,rGlac,rPeri,rPela,rMont,GearMiss,ratio,snapdist,upDist,afvArea,locID,netID,netgeom,prosper,YrangeCat,pGlac,pNotGlac,pGlacRel,pNotGlacRel,pIntroduced,Turnover,geometry,FragCat,TempCat,
138,3616,138,Little Snake River,1.405e,Wyoming,216989,0,1903.26,10.35,0.00174669,295.59,5308.91,1230762,0.078135,56,18.3,19.39,20.21,168,39,3.757958269,0.14231376,1,23.941,9,-5,-4,0.2,0.222222222,0.001,0.5,0,2,0,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01734417,GREEN,0.001,0.333333333,NA,0.001,M,0.911286795,0,13439.04855,1,138,4,SNETWORK (4 3616 13439.0485525637 0.911286795338347 138 138),0.831715154,XL,0,0.5,NA,0.2,0.25,0.818181818,c(-969718.079968905, 2062977.01933068),Smaller (<62 km),Cool
139,3624,139,Little Snake River,1.405e,Wyoming,216498,0,1933.05,11.31,0.0025962,347.36,2798.12,1230183,0.091572,57,17.36,18.43,19.23,169,34,2.497768963,0.09795353,1,23.941,7,2,-1,0.666666667,0.857142857,0.666666667,NA,0,3,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.003143931,GREEN,0.999,0.001,NA,0.999,M,0.600439042,0,29071.6109,0.535842769,139,4,SNETWORK (4 3624 29071.610900672 0.600439041695278 139 139),0.819848485,XL,0.666666667,NA,NA,0.666666667,1,0.4,c(-960935.34670794, 2060659.65071081),Smaller (<62 km),Cool
140,3630,140,Savery Creek,1.405e,Wyoming,217708,0,2039.06,23.07,0.00607045,447.44,866.56,1238534,0.225063,60,16.29,17.33,18.12,280,12,0.579629154,0.18971348,0,46.719,7,0,0,0.999,0.857142857,0.999,NA,0,1,1,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033824234,GREEN,0.999,NA,NA,0.999,M,0.974293178,0,57306.041,0.535842769,140,4,SNETWORK (4 3630 57306.0410024074 0.974293178117234 140 140),0.826539394,S,1,NA,NA,1,0.75,0.25,c(-946018.673309453, 2066472.31845371),Smaller (<62 km),Cool
141,3637,141,Savery Creek,1.405e,Wyoming,221123,0,2147.07,6.51,4.44e-05,558.41,498.71,1253760,0.389806,63,15.97,17,17.78,279,12,0.33330728,0.2387637,0,46.719,5,2,1,0.999,0.8,0.999,NA,0,3,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027127138,GREEN,0.999,NA,NA,0.999,M,0.16619002,0,77802.60718,0.535842769,141,4,SNETWORK (4 3637 77802.6071801438 0.166190019717474 141 141),0.832133335,S,1,NA,NA,1,0.666666667,0.5,c(-943186.295909027, 2081071.17842487),Smaller (<62 km),Cool
142,3638,142,Savery Creek,1.405e,Wyoming,221476,0,2153.22,31.81,0.00239714,563.75,435.02,1256150,0.445636,62,15.29,16.31,17.07,281,47,0.293165376,0.22832883,0,46.719,3,5,2,0.5,0.666666667,0.999,0.001,1,6,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019943606,GREEN,0.999,0.001,NA,0.999,,0.917201589,0,83728.28306,0.535842769,142,4,SNETWORK (4 3638 83728.2830555624 0.917201588775009 142 142),0.826587883,XL,1,0,NA,0.5,1,0.777777778,c(-941344.04898718, 2083378.61392417),Smaller (<62 km),Cool
143,3641,143,North Fork Savery Creek,1.405e,Wyoming,222676,0,2227.74,5.4,0.0130803,610.36,124.63,1261223,0.376944,62,15.08,16.09,16.85,240,14,0.085068619,0.26213936,0,27.8,8,-4,-3,0.25,0.375,0.25,NA,0,1,1,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004279719,GREEN,0.333333333,0.001,NA,0.999,M,0.542384235,0,95204.13598,0.242470096,143,4,SNETWORK (4 3641 95204.1359803493 0.542384234674598 143 143),0.822939396,S,0.25,NA,NA,0.25,0.5,0.666666667,c(-934619.489841787, 2087316.73134808),Smaller (<62 km),Cool
144,3644,144,Dirtyman Fork,1.405e,Wyoming,221538,0,2244.4,0,0.01040121,652.14,86.73,1258504,0.410942,62,15.16,16.17,16.93,113,12,0.059000652,0.13879185,0,2.071,5,-2,-1,0.5,0.4,0.5,NA,0,1,0,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002841299,GREEN,0.5,NA,NA,0.999,,0.8086192,1.63396690595176e-09,96711.53743,0.293372673,144,4,SNETWORK (4 3644 96711.5374317565 0.80861919984854 144 144),0.797600006,S,0.5,NA,NA,0.5,0.333333333,0.666666667,c(-933278.736442499, 2084105.94260603),Smaller (<62 km),Cool
146,3664,146,Muddy Creek,1.405e,Wyoming,226673,0,2026.42,0,0.00206276,270.43,547.18,1274088,0.095728,61,18.72,19.82,20.65,197,30,0.300844965,0.51307725,1,16.028,4,2,0,0.666666667,0.75,NA,0.666666667,0,3,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008731318,GREEN,0.999,0.666666667,NA,NA,M,0.896659117,0,100080.5468,0.437450112,146,4,SNETWORK (4 3664 100080.546848165 0.896659117477478 146 146),0.678175755,XL,NA,0.666666667,NA,0.666666667,1,0.571428571,c(-972508.111567088, 2108145.12651965),Smaller (<62 km),Cool
145,3660,145,Wild Cow Creek,140500,Wyoming,222729,0,1995.69,14.47,0.00651284,370.54,112.03,1257352,0.01205,60,16.81,17.86,18.66,332,19,0.068142242,0.51923167,0,23.333,5,-3,-1,0.001,0.4,0.001,NA,0,0,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042357986,GREEN,0.001,NA,NA,NA,M,0.455055557,3.74886258228324e-09,67896.91955,0.026707119,145,4,SNETWORK (4 3660 67896.9195534454 0.455055557043517 145 145),0.466060606,M,0,NA,NA,0,0.5,0.6,c(-961994.34418483, 2088763.84859701),Smaller (<62 km),Cool
70,2276,70,Alkali Creek,140401,Wyoming,251808,0,2079.99,0,0.00223599,216.5,413.2,1383413.21,0,63,15.82,16.85,17.63,340,19,0.174857853,0.75141898,0,22.878,2,-2,NA,NA,0.001,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010194481,GREEN,NA,NA,NA,NA,M,0.796976204,0,408990.3768,0.156003698,70,9,SNETWORK (9 2276 408990.37683612 0.796976204050513 70 70),0.434812123,M,NA,NA,NA,NA,0,0.999,c(-1135686.74932607, 2253540.4769511),Smaller (<62 km),Cool
