"","rid","pid","GNIS_NA","HUC6","STATE","OBSPRED","TAILWAT","ELEV","CANOPY","SLOPE","PRECIP","CUMDRAI","Y_COORD","NLCD11P","BFI","temp","S30_204","S32_208","RepeatID","Yrange","size","F_BFI_H","barrier","length","numSpE","rchChng","NativNt","pNat","pComm","prsGlcE","prsGlcL","pisc","nClnzSp","FHMN","LNDC","CRCH","PKF","SDSH","LNSU","WSU","EB","CMSH","STR","JDT","BRSB","SMB","GSUN","CARP","YP","LL","PTMN","RB","LMB","MWF","NRBDC","LKCH","BRMN","IOWA","BLBH","NP","WSMN","PLMN","SCAT","SHRH","NPDC","WHCR","RKB","GSH","FHCH","SGR","WE","RCSU","PUMP","CCAT","RMCOT","PLSU","WS_PLMN","GE","ONC","SPSH","SPDC","MTSU","RMCT","RSSH","COLCOT","EMSH","HYBOG","BMSH","BHSU","FMSU","FMxWSU","DRUM","SMBUF","BMBUF","ODT","BLCR","FSDC","HHCH","GDF","BG","RDSH","GAM","GZS","TGT","YLBH","STCH","GILA","LING","QBK","SPK","LSCH","WCT","RTCH","SSTRG","LWF","WBS","SFCH","PSTRG","BSU","CIS","PF","GR","SMMN","BHxWSU","KOK","LT","snapdst","PU","rGlac","rPeri","rPela","rMont","ratio","snapdist","upDist","afvArea","locID","netID","netgeom","MOTCOT","pelagics_all","Turnover","geometry"
"1",21,1,"North Platte River","1.018e","Wyoming",126581,0,1982.38,6.5,0.00122109,262.81,9919.88,1314211,0.386,55,19.23,20.34,21.18,247,85,858.2070252,0.14401971,1,156.286,8,-2,-1,0.571428571428571,0.5,0.6,0.5,0,2,0,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009795658658271,"PLAT",0.5,0.999,NA,NA,0.438418185988191,0,756524.698725076,0.0796815811141097,1,1,"SNETWORK (1 21 756524.698725076 0.438418185988191 1 1)",0,NA,0.6,c(-901926.114212769, 2135035.12961399)
"2",71,2,"Encampment River","1.018e","Wyoming",116009,0,2140.26,29.36,0.00346308,260.77,657.68,1262339,0.347,59,16.02,17.05,17.83,123,13,141.1028391,0.08044957,1,25.829,5,-1,-1,0.5,0.8,0.5,NA,1,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020745881828015,"PLAT",0.999,0.001,NA,NA,0.778962334681838,0,855480.013233737,0.00368719200917461,2,1,"SNETWORK (1 71 855480.013233737 0.778962334681838 2 2)",0,NA,0.2,c(-890904.267308242, 2079257.35052258)
"3",83,3,"Encampment River","1.018e","Wyoming",112812,0,2203.84,22.07,0.00454173,402.85,445.68,1252598,0.502,59,15.58,16.6,17.37,124,11,128.3795824,0.07457156,1,25.829,3,1,0,0.999,0.999,0.999,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00493904527849,"PLAT",0.999,NA,NA,NA,0.771123050495601,0,868603.365337912,0.00368719200917461,3,1,"SNETWORK (1 83 868603.365337912 0.771123050495601 3 3)",0,NA,0.25,c(-896578.128095101, 2070514.9605381)
"4",118,4,"Big Creek","1.018e","Wyoming",109616,0,2325.22,20.38,0.0071711,435.97,430.66,1246001.36,0.468,57,15.29,16.31,17.07,322,21,90.42733702,0.12677006,1,13.646,6,-1,-1,0.666666666666667,0.666666666666667,0.666666666666667,NA,1,1,NA,0,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026913371889068,"PLAT",0.5,0.999,NA,NA,0.980056915697584,0,893222.846597468,0.0303054923038257,4,1,"SNETWORK (1 118 893222.846597468 0.980056915697584 4 4)",0,NA,0.428571428571429,c(-873167.624000201, 2058325.53377031)
"5",128,5,"Pass Creek","101800","Wyoming",125683,0,2006.8,0,1e-05,265.7,680.24,1309325,0.006,55,17.34,18.41,19.21,383,32,22.97974496,0.18924912,0,111.418,8,0,-1,0.875,0.875,0.75,0.999,0,1,1,1,1,NA,1,0,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003052839873115,"PLAT",0.999,0.5,NA,NA,0.721316907757588,1.16415321826935e-10,773533.978268282,0.0057475413780494,5,1,"SNETWORK (1 128 773533.978268282 0.721316907757588 5 5)",0,NA,0.222222222222222,c(-894025.862607739, 2128279.5634861)
"6",284,6,"Medicine Bow River","101800","Wyoming",129514,0,1979.88,5.76,0.00012137,290.57,4990.49,1346631,0.325,52,17.24,18.3,19.11,374,62,216.7895805,0.26724189,0,232.172,5,0,0,0.6,0.6,0.333333333333333,0.999,0,2,NA,1,1,NA,1,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014030427008974,"PLAT",0.5,0.001,NA,NA,0.270091456686766,0,757149.076706023,0.0391129273132149,6,1,"SNETWORK (1 284 757149.076706023 0.270091456686766 6 6)",0,NA,0.571428571428571,c(-850923.167043489, 2157556.58992041)
"7",310,7,"Wagonhound Creek","1.018e","Wyoming",123783,0,2249.43,14.62,0.00855692,334.6,100.67,1307989,0.004,52,15.33,16.35,17.11,26,10,2.40110408,0.19169206,0,35.258,4,1,-1,0.5,0.5,0.5,0.5,1,3,NA,0,1,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002103760237004,"PLAT",0.5,0.999,NA,NA,0.899283821356438,1.16415321826935e-10,891322.957290765,0.0189102939251393,7,1,"SNETWORK (1 310 891322.957290765 0.899283821356438 7 7)",0,NA,0.714285714285714,c(-850992.793040455, 2118309.44662966)
"8",329,8,"Little Medicine Bow River","1.018e","Wyoming",131299,0,2055.33,0,0.00196283,305.73,1015.93,1359610,0.127,51,16.67,17.72,18.51,158,56,13.57103658,0.47784049,0,101.29,5,2,1,0.999,0.999,0.999,0.999,0,2,NA,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022686146332849,"PLAT",0.999,0.999,NA,NA,0.616863534404849,0,827803.633287138,0.0202026333880757,8,1,"SNETWORK (1 329 827803.633287138 0.616863534404849 8 8)",0,NA,0.285714285714286,c(-827604.772852086, 2165887.97399293)
"9",341,9,"Little Medicine Bow River","1.018e","Wyoming",135970,0,2133.06,0,0.00315073,323.94,281.67,1387552,0.009,50,15.99,17.02,17.8,157,45,6.17503226,0.30976564,0,101.29,4,2,1,0.999,0.999,0.999,0.999,0,2,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043229651008222,"PLAT",0.999,0.999,NA,NA,0.254710594134759,0,867806.52511582,0.0144957802617429,9,1,"SNETWORK (1 341 867806.52511582 0.254710594134759 9 9)",0,NA,0.333333333333333,c(-827869.062481562, 2195354.50675303)
"10",343,10,"Spring Creek","1.018e","Wyoming",135854,0,2134.25,0,0.00552763,321.88,110.89,1387411,0.237,50,16.08,17.11,17.89,2,19,1.60193908,0.7066484,0,101.29,3,3,2,0.999,0.999,0.999,0.999,0,3,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017955146678387,"PLAT",0.999,0.999,NA,NA,0.0401332530945002,0,867116.569286907,0.00570685312633276,10,1,"SNETWORK (1 343 867116.569286907 0.0401332530945002 10 10)",0,NA,0.5,c(-827871.676034726, 2194726.38169272)
