"","Species","net","EarlyNum","LateNum","propChange","sites","CommonName","SciName","a","b","lw_Source","Status","TrophicGuild","FeedingGuild","ReproductiveGuild","Thermal","SimpleThermal","HabitatGuild","Glacial","NativeBasin","LifeHist","Notes","X","FlowAvg","FlowMedian"
"1","BHSU",-7,11,4,0.363636363636364,12,"Bluehead Sucker","Pantosteus discobolus",NA,NA,"","Native","","","","","Cool","","L","GR","Per","",3,208.4985873,36.97010789
"2","BLBH",-4,11,7,0.636363636363636,15,"Black Bullhead","Ameiurus melas",-5.174,3.154,"Ecklebecker et al. 2023","Introduced","IC","B","GU","Warm","Warm","Lotic","L","MO","Equil","",5,295.4416887,21.60058167
"3","BMBUF",0,1,1,1,1,"Bigmouth Buffalo","Ictiobus cyprinellus",-5.13,3.122,"Ecklebecker et al. 2023","Native","","","","","Warm","","E","MO","Per","",7,5822.207347,5518.083054
"4","BMSH",-6,16,10,0.625,19,"Bigmouth Shiner","Ericymba dorsalis",-5.03363,2.98913,"Used spottail shiner from Schneider","Native","O","G","LO","Warm","Warm","Lotic","L","MO","Opp","",8,317.6993818,47.18497001
"5","BRMN",-13,39,26,0.666666666666667,52,"Brassy Minnow","Hybognathus hankinsoni",-5,3,"","Native","H","B","PH","Cool-Warm","Warm","Lotic","E","MO","Opp","",9,266.9931245,22.5839814
"6","BRSB",-7,21,14,0.666666666666667,27,"Brook Stickleback","Culaea inconstans",-5,3,"","Mixed","IN","G","GU","Cool","Cool","Lentic","E","MO","Opp","",10,1703.646298,15.57392027
"7","CARP",11,56,67,1.19642857142857,91,"Common Carp","Cyprinus carpio",-4.787,2.964,"Ecklebecker et al. 2023","Introduced","O","B","PH","Cool-Warm","Warm","Lentic","","","","",12,2859.648163,259.9984557
"8","CCAT",21,15,36,2.4,42,"Channel Catfish","Ictalurus punctatus",-5.8116,3.2764,"Schneider et al. 2000","Native","IC","B","CG","","Warm","Lotic","L","MO","Equil","",13,2966.085904,388.1853147
"9","CMSH",5,15,20,1.33333333333333,23,"Common Shiner","Luxilus cornutus",-5.6124,3.32,"Schneider et al. 2000","Native","O","G","BH","Cool","Cool","Lotic","L","MO","Opp","",15,244.4853981,82.33099307
"10","CRCH",0,87,87,1,109,"Creek Chub","Semotilus atromaculatus",-4.84812,2.92494,"Schneider et al. 2000","Native","IC","G","BH","Cool","Cool","Lotic","L","MO","Opp","",17,137.5187906,12.42794777
"11","DRUM",1,0,1,Inf,1,"Freshwater Drum","Aplodinotus grunniens",-5.161,3.107,"Ecklebecker et al. 2023","Mixed","","","","","Warm","","E","MO","Per","therm based on educated guess",20,7137.017722,5821.633013
"12","EB",0,35,35,1,48,"Brook Trout","Salvelinus fontinalis",-5.248,3.117,"Ecklebecker et al. 2023","Introduced","IC","G","BH","Cold","Cold","General","","","Equil","",21,35.51651174,2.78390404
"13","EMSH",5,0,5,Inf,5,"Emerald Shiner","Notropis atherinoides",-4.71,2.73,"Schneider et al. 2000","Native","IN","WC","PB","","Warm","","E","MO","Opp","",22,6174.915579,5518.083054
"14","FHCH",-19,54,35,0.648148148148148,61,"Flathead Chub","Platygobio gracilis",-4.453,2.743,"Ecklebecker et al. 2023","Native","IN","G","PB","","Warm","Lotic","E","MO","Opp","",23,2391.044713,223.9378996
"15","FHMN",-23,134,111,0.828358208955224,165,"Fathead Minnow","Pimephales promelas",-5.03343,3.0765,"Schneider et al. 2000","Native","O","G","CG","Cool-Warm","Warm","General","E","MO","Opp","",24,454.5549447,30.34474796
"16","FMSU",-13,34,21,0.617647058823529,36,"Flannelmouth Sucker","Catostomus latipinnis",NA,NA,"","Native","","","","","Warm","","L","GR","Per","",25,251.1832336,72.14958137
"17","FSDC",-1,1,0,0,1,"Finescale Dace","Chrosomus neogaeus",NA,NA,"","Native","","","","","Cool","","E","MO","Opp","",28,5.70909193,0.75873573
"18","GE",8,10,18,1.8,23,"Goldeye","Hiodon alosoides",-4.834,2.913,"Ecklebecker et al. 2023","Native","IN","WC","PB","","Warm","","E","MO","Per","",32,4533.802062,1246.825804
"19","GILA",-1,7,6,0.857142857142857,11,"Utah Chub","Gila atraria",-5.155,3.109,"Ecklebecker et al. 2023","Native","","","","","Warm","","L","GR","Per","",33,218.5663593,56.85465208
"20","GSUN",-6,49,43,0.877551020408163,72,"Green Sunfish","Lepomis cyanellus",-4.702,2.993,"Ecklebecker et al. 2023","Introduced","IC","G","GU","Warm","Warm","Lotic","","","Equil","",36,1053.77583,47.33956798
"21","HHCH",2,5,7,1.4,11,"Hornyhead Chub","Nocomis biguttatus",NA,NA,"","Native","","","","","Warm","","L","MO","Equil","But glacial relict according to Hickerson",38,144.7276645,250.5861079
"22","HYBOG",2,4,6,1.5,6,"Hybognathus","Hybognathus sp.",-5,3,"","Native","H","B","PB","","Warm","Lotic","","MO","Opp","",NA,NA,NA
"23","HYBOG",2,4,6,1.5,6,"","",NA,NA,"","Native","","","","","","","Mixed","","","",NA,NA,NA
"24","IOWA",-2,15,13,0.866666666666667,25,"Iowa Darter","Etheostoma exile",-5.404,3.198,"JDT from Schneider et al. 2000","Native","IN","G","GU","Warm","Warm","Lentic","E","MO","Opp","",39,210.9005265,29.046444
"25","JDT",2,15,17,1.13333333333333,24,"Johnny Darter","Etheostoma nigrum",-5.404,3.198,"Schneider et al. 2000","Native","IN","B","CG","Cool","Cool","General","L","MO","Opp","",40,308.6047124,89.83033698
"26","LKCH",-12,36,24,0.666666666666667,47,"Lake Chub","Couesius plumbeus",-4.76,2.908,"Ecklebecker et al. 2023","Native","IN","WC","PH","Cool-Warm","Cool","Lotic","E","MO","Opp","",43,337.9492829,12.47770845
