"","Species","net","sites","EarlyNum","LateNum","propChange","Status","Glacial"
"1","BHSU",-7,12,11,4,0.363636363636364,"Native","L"
"2","BHxWSU",-1,3,2,1,0.5,"Introduced",""
"3","BLBH",-12,54,41,29,0.707317073170732,"Introduced","L"
"4","BLCR",-2,4,3,1,0.333333333333333,"Introduced",""
"5","BMBUF",0,1,1,1,1,"Native","E"
"6","BMSH",-6,19,16,10,0.625,"Native","L"
"7","BRMN",-13,52,39,26,0.666666666666667,"Native","E"
"8","BRSB",2,39,23,25,1.08695652173913,"Mixed","E"
"9","CARP",11,91,56,67,1.19642857142857,"Introduced",""
"10","CCAT",20,43,16,36,2.25,"Native","L"
"11","CMSH",5,23,15,20,1.33333333333333,"Native","L"
"12","CRCH",-1,120,95,94,0.989473684210526,"Native","L"
"13","DRUM",3,3,0,3,Inf,"Mixed","E"
"14","EB",0,48,35,35,1,"Introduced",""
"15","EMSH",5,5,0,5,Inf,"Native","E"
"16","FHCH",-19,61,54,35,0.648148148148148,"Native","E"
"17","FHMN",-39,208,170,131,0.770588235294118,"Native","E"
"18","FMSU",-13,36,34,21,0.61764705882353,"Native","L"
"19","FMxWSU",11,27,13,24,1.84615384615385,"Introduced",""
"20","FSDC",-1,1,1,0,0,"Native","E"
"21","GDF",-2,2,2,0,0,"Introduced",""
"22","GE",8,23,10,18,1.8,"Native","E"
"23","GILA",-1,11,7,6,0.857142857142857,"Native","L"
"24","GSH",-1,8,5,4,0.8,"Introduced",""
"25","GSUN",-6,72,49,43,0.877551020408163,"Introduced",""
"26","GZS",1,1,0,1,Inf,"Introduced",""
"27","HHCH",2,11,5,7,1.4,"Native","L"
"28","HYBOG",1,3,2,3,1.5,"Native",""
"29","HYBOG",1,3,2,3,1.5,"Native","Mixed"
"30","IOWA",-2,25,15,13,0.866666666666667,"Native","E"
"31","JDT",2,24,15,17,1.13333333333333,"Native","L"
"32","LING",15,15,0,15,Inf,"Native","E"
"33","LKCH",-14,52,40,26,0.65,"Native","E"
"34","LL",9,102,78,87,1.11538461538462,"Introduced",""
"35","LMB",4,15,7,11,1.57142857142857,"Introduced",""
"36","LNDC",-30,217,183,153,0.836065573770492,"Native","E"
"37","LNSU",-28,89,76,48,0.631578947368421,"Native","E"
"38","LSCH",0,3,2,2,1,"Native","L"
"39","MOTCOT",-9,40,36,27,0.75,"Native","E"
"40","MTSU",-2,59,43,41,0.953488372093023,"Native","E"
