"","GNIS_NAME","HUC6","temp","RepeatID","Yrange","size","barrier","length","numSpE","pisc","prosper","FHMN","LNDC","CRCH","SDSH","LNSU","WSU","EB","GSUN","CARP","LL","RB","LKCH","BRMN","PLMN","SCAT","SHRH","FHCH","RCSU","CCAT","PLSU"
"1","Coal Creek","101900",16.87,462,30,1.28982801,0,21.117,4,0,0.588218185,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","East Plum Creek","101900",18.55,461,29,1.78464158,0,28.929,4,0,0.75458788,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","West Plum Creek","101900",19.42,460,29,1.66040586,0,12.236,5,0,0.70270909,1,1,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","South Platte River","101900",21.28,457,39,658.1175771,1,3.64,5,1,0.799066665,0,1,NA,1,0,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Cache la Poudre River","101900",18.37,455,25,368.4412024,1,17.667,10,1,0.644139389,1,1,0,0,1,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Cache la Poudre River","101900",18.09,454,25,367.5186986,1,0.796,9,1,0.64414,1,1,1,0,1,1,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cache la Poudre River","101900",17.43,453,25,367.456823,1,3.059,7,1,0.643545456,0,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Cache la Poudre River","101900",17.23,452,13,367.3532341,1,1.646,5,1,0.6435,NA,1,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Cherry Creek","101900",20.18,451,23,4.75554837,1,3.907,5,1,0.760793942,1,1,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Big Warm Creek","100500",18.94,450,18,1.50306956,0,111.528,5,0,0.648109092,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
