rid,pid,GNIS_NA,HUC6,STATE,OBSPRED,TAILWAT,ELEV,CANOPY,SLOPE,PRECIP,CUMDRAI,Y_COORD,NLCD11P,BFI,temp,S30_204,S32_208,RepetID,Yrange,size,F_BFI_H,barrier,length,numSpE,rchChng,NativNt,pNat,pComm,prsGlcE,prsGlcL,pisc,nClnzSp,FHMN,LNDC,CRCH,PKF,SDSH,LNSU,WSU,EB,CMSH,STR,JDT,BRSB,SMB,GSUN,CARP,YP,LL,PTMN,RB,LMB,MWF,NRBDC,LKCH,BRMN,IOWA,BLBH,NP,WSMN,PLMN,SCAT,SHRH,NPDC,WHCR,RKB,GSH,FHCH,SGR,WE,RCSU,PUMP,CCAT,RMCOT,PLSU,WS_PLMN,GE,ONC,SPSH,SPDC,MTSU,RMCT,RSSH,COLCOT,EMSH,HYBOG,BMSH,BHSU,FMSU,FMxWSU,DRUM,SMBUF,BMBUF,ODT,BLCR,FSDC,HHCH,GDF,BG,RDSH,GAM,GZS,TGT,YLBH,STCH,GILA,LING,QBK,SPK,LSCH,WCT,RTCH,SSTRG,LWF,WBS,SFCH,PSTRG,BSU,CIS,PF,GR,SMMN,BHxWSU,KOK,LT,snapdst,PU,rGlac,rPeri,rPela,rMont,GearMiss,ratio,snapdist,upDist,afvArea,locID,netID,netgeom,prosper,YrangeCat,pGlac,pNotGlac,pGlacRel,pNotGlacRel,pIntroduced,Turnover,geometry,FragCat,TempCat,
4237,158,Beaver Creek,0,Montana,176156,0,847.9500122,0.146341463,0.00080289,378.435,614.2284,1899533.213,0.181,17,21.45,22.7,24.01,393,48,0.34371197,0.1946492,0,304.426,6,-1,-4,0.333333333,0.333333333,0.4,0.001,1,3,1,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010152347,LTMO,0.5,0.001,NA,NA,M,0.166798302,5.20625146455083e-10,218928.0666,0.113092456,157,8,SNETWORK (8 4237 218928.066599252 0.166798302014951 158 157),0.696248484,XL,0.4,0,0.999,0.2,NA,0.777777778,c(-626403.775306823, 2676823.30527464),Large (>62 km),Warm
10652,335,Sun River,1.003,Montana,137018,0,1018.81,22.24,5e-05,314.8574,3869.22,1935328,0.459,67,18.6,19.43,20.1,14,12,14.95292778,0.28277898,0,50.222,7,-1,-1,0.75,0.714285714,0.75,NA,1,1,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058372007,UPMO,0.5,0.999,NA,NA,,0.533182517,0,895302.2106,0.004155991,329,6,SNETWORK (6 10652 895302.210571234 0.533182516789968 335 329),0.92741212,S,0.75,NA,NA,0.75,0.666666667,0.375,c(-1174487.73538427, 2824260.80382437),Smaller (<62 km),Cool
10670,336,Sun River,1.003,Montana,136164,0,1086.27,10.21,0.00241,315.8438,3155.63,1930280,0.497,68,18.6,19.43,20.1,15,16,14.87911043,0.28129415,1,91.073,6,-3,-1,0.001,0.166666667,0.001,NA,1,2,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049860254,UPMO,0.333333333,0.666666667,NA,NA,,0.879819199,0,930609.9394,0.00391952,330,6,SNETWORK (6 10670 930609.939394902 0.879819198664742 336 330),0.927187874,M,0,NA,0.001,0,0.333333333,0.875,c(-1202975.26083675, 2824671.25074191),Large (>62 km),Cool
10678,337,Sun River,1.003,Montana,136912,0,1208.41,4.5,0.003,334.2563,2101.31,1934218,0.642,67,16.83,17.63,18.27,16,18,13.78723786,0.27286721,1,91.073,3,2,1,0.999,0.666666667,0.999,NA,0,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026781506,UPMO,0.999,0.999,NA,NA,,0.738593242,1.86264514923096e-09,972974.3745,0.003841222,331,6,SNETWORK (6 10678 972974.374491659 0.738593242181029 337 331),0.693387882,M,1,NA,0.999,1,0,0.666666667,c(-1233869.59169938, 2834733.84870739),Large (>62 km),Cool
10711,338,Belt Creek,1.003,Montana,137795,0,864.01,33.4,0.00374,362.5052,2063.66,1940983,0.021,66,18.17,19,19.66,62,13,2.343764553,0.41900181,0,126.339,10,-7,-7,0.125,0.3,0.142857143,0.001,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039708735,UPMO,0.25,0.001,NA,NA,M,0.09241469,0,838806.3762,0.001756331,332,6,SNETWORK (6 10711 838806.376249194 0.092414690344118 338 332),0.891793939,S,0.142857143,0,0.5,0,1,0.7,c(-1133506.56049204, 2821883.20532258),Large (>62 km),Cool
8863,281,Arrow Creek,1.004,Montana,187431,0,948.3300171,0,0.00237957,399.5630078,1165.2129,1924382.481,0.024,71,19.84,21.04,22.3,47,14,0.629526456,0.61004898,0,143.768,8,-5,-5,0.125,0.125,0.142857143,0.001,0,2,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007895155,UPMO,0.166666667,0.001,0.5,NA,,0.978375942,0,763677.4358,0.002165636,278,6,SNETWORK (6 8863 763677.435750031 0.978375942386719 281 278),0.918060604,S,0.142857143,0,0.001,0.166666667,NA,0.9,c(-1074190.29596287, 2793103.53920743),Large (>62 km),Cool
8938,282,Ross Fork Creek,1.004,Montana,125524,0,1131.49,27.41,0.00492,432.86,1178.3,1887501,0.116,65,17.41,18.23,18.88,277,59,1.222392579,0.51579169,0,82.545,4,-1,-1,0.333333333,0.25,0.333333333,NA,1,2,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010362786,UPMO,0.333333333,0.001,NA,NA,,0.0538861,0,782686.9851,0.053365275,279,6,SNETWORK (6 8938 782686.985146674 0.0538860998479002 282 279),0.925254547,XL,0.333333333,NA,0.001,0.5,0,0.833333333,c(-1043758.33178888, 2750332.23460799),Large (>62 km),Cool
8958,284,Beaver Creek,1.004,Montana,121985,0,1361,35.58,0.01828,606.0208,33.24,1873849,0.019,65,14.09,14.85,15.45,44,11,0.078831343,0.49808439,0,34.644,5,-2,-1,0.666666667,0.6,0.666666667,NA,0,0,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001491634,UPMO,0.5,0.999,NA,NA,,0.03210812,0,806491.6657,0.006212083,281,6,SNETWORK (6 8958 806491.665667448 0.0321081200250445 284 281),0.850569694,S,0.666666667,NA,0.001,1,0.5,0.4,c(-1030354.40715044, 2733504.60837371),Smaller (<62 km),Cold
8982,285,NA,1.004,Montana,140182,0,744.51,16.9,0.0025,332.2175,7150.69,1959752.8,0.049,64,19.94,20.8,21.48,252,18,6.341109632,0.53081489,0,202.346,4,0,2,0.5,0.25,0.5,NA,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006961906,UPMO,NA,0.666666667,NA,NA,,0.484298263,1.16415321826935e-10,649369.8618,0.07234279,282,6,SNETWORK (6 8982 649369.86182078 0.484298263123202 285 282),0.440860606,M,0.5,NA,NA,0.5,0,0.857142857,c(-1028523.81899273, 2820321.58107222),Large (>62 km),Cool
9278,294,NA,1.004,Montana,107462,0,1208.8,19.07,0.0034,352.3878,3750.97,1812843.3,0.098,59,18.27,19.1,19.76,233,22,5.259601172,0.50364629,1,128.81,6,-1,-1,0.25,0.5,0.25,NA,1,2,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051254065,UPMO,0.25,0.5,NA,NA,,0.133074986,0,924505.441,0.00852637,291,6,SNETWORK (6 9278 924505.440950766 0.13307498619713 294 291),0.717333329,L,0.25,NA,0.001,0.333333333,1,0.625,c(-1047986.10778987, 2674903.64739067),Large (>62 km),Cool
9316,295,Musselshell River,1.004,Montana,109356,0,1411.48,23.86,0.0028,343.9418,1401.78,1819571,0.061,65,15.67,16.45,17.08,207,40,2.023139308,0.46527777,0,14.848,5,-1,0,0.666666667,0.4,0.666666667,NA,1,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056331088,UPMO,0.666666667,0.999,NA,NA,,0.524409005,0,1003969.78,0.00852637,292,6,SNETWORK (6 9316 1003969.78007437 0.524409005338981 295 292),0.973296976,XL,0.666666667,NA,0.001,1,0,0.714285714,c(-1091942.00171505, 2690610.70224269),Smaller (<62 km),Cool
9373,297,Musselshell River,1.004,Montana,154441,0,856.38,0.1794872,0.00136849,374.833,12541.67,1850644,0.079,40,22.04,23.31,24.64,208,42,9.289666192,0.55186794,0,231.649,3,2,1,0.5,0.333333333,0.5,NA,1,4,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018682827,UPMO,0.999,0.5,NA,NA,,0.040536969,1.16415321826935e-10,655684.6578,0.022881051,294,6,SNETWORK (6 9373 655684.657820522 0.040536969490505 297 294),0.72306667,XL,0.5,NA,NA,0.5,0,0.857142857,c(-905725.341456834, 2684873.21060258),Large (>62 km),Warm
9421,298,Musselshell River,1.004,Montana,144337,0,966.13,1.341463,0.00121367,338.304,10442.58,1824889,0.094,56,21.54,22.8,24.11,204,42,8.886952847,0.54053833,1,33.013,8,-3,-2,0.5,0.5,0.6,0.001,0,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023666046,UPMO,0.001,0.5,0.001,NA,,0.645345095,0,766366.7421,0.022881051,295,6,SNETWORK (6 9421 766366.742135344 0.645345094550304 298 295),0.721600002,XL,0.6,0,0.001,0.6,0.5,0.555555556,c(-961343.608683641, 2669770.53002973),Smaller (<62 km),Warm
