"","RepeatID","numPostglac","pGlac","LAT","LONG"
"1",1,3,1,42.777078,-109.581956
"2",2,2,1,42.354372,-106.13379
"3",3,1,1,41.315414,-110.223019
"4",4,1,1,41.282753,-110.314792
"5",5,2,1,41.374919,-110.204238
"6",6,3,1,43.025574,-110.352603
"7",7,3,0.666666666666667,42.999778,-110.42542
"8",8,3,1,42.78679,-110.277694
"9",10,8,0.125,46.32238,-105.778474
"10",11,2,1,43.309186,-110.024225
"11",12,7,0.428571428571429,44.944458,-106.942287
"12",14,4,0.75,47.544016,-111.569314
"13",15,3,0,47.505122,-111.940894
"14",16,2,1,47.547594,-112.365081
"15",17,4,1,42.493625,-108.260728
"16",20,3,0.666666666666667,42.409401,-108.961264
"17",21,4,1,42.506065,-107.066891
"18",22,6,0.5,46.662189,-105.332116
"19",23,7,0.142857142857143,46.651765,-105.289004
"20",24,2,0.5,42.941081,-109.92531
"21",25,3,0.666666666666667,41.837762,-110.53161
"22",26,2,0.5,41.652987,-106.313489
"23",41,2,1,41.61963,-104.594905
"24",42,3,0.666666666666667,43.942034,-104.486872
"25",43,4,0.75,44.572041,-107.820932
"26",44,3,0.666666666666667,46.931483,-109.516453
"27",46,2,1,43.448324,-105.13139
"28",47,7,0.142857142857143,47.407056,-110.199177
"29",53,2,0,41.545791,-109.323569
"30",54,1,1,41.523945,-109.374835
"31",57,2,1,41.485566,-109.668101
"32",58,2,0.5,41.440984,-109.619329
"33",59,2,0.5,41.530257,-109.690648
"34",60,4,0.5,44.588061,-104.703935
"35",62,7,0.142857142857143,47.582245,-111.03029
"36",63,6,0.833333333333333,44.758947,-104.080923
"37",64,4,0.5,44.785488,-104.504871
"38",65,5,0.6,44.494115,-104.745685
"39",70,4,0.25,42.003323,-109.603065
"40",71,2,1,40.664886,-105.225441
"41",73,4,0.5,43.020284,-110.398989
"42",75,3,1,41.292721,-110.392855
"43",76,1,1,41.569164,-110.183875
"44",77,2,1,41.579485,-109.982429
"45",78,1,0,41.514254,-110.152257
"46",79,1,1,41.389537,-110.216148
"47",80,2,1,41.42429,-110.182373
"48",81,1,1,41.59899,-109.953062
"49",82,1,1,41.637534,-109.809446
"50",83,2,1,41.594466,-110.0703
"51",84,2,1,41.620128,-109.751659
"52",85,1,0,41.585887,-110.115598
"53",86,2,0,41.622903,-109.881886
"54",87,3,0.333333333333333,41.350481,-110.336013
"55",88,4,0.5,42.775746,-105.771216
"56",89,2,1,42.723269,-105.795546
"57",92,2,0.5,44.476077,-106.228275
"58",93,3,0.333333333333333,45.679018,-105.12314
"59",95,3,0.333333333333333,43.445155,-104.502352
"60",97,2,0,43.421027,-104.131805
"61",98,3,1,41.936475,-104.837628
"62",99,6,0.166666666666667,48.516395,-109.4041
"63",103,6,0.5,44.695899,-106.33832
"64",104,3,0.666666666666667,44.879552,-106.070913
"65",105,3,0.666666666666667,42.876572,-109.943223
"66",106,6,0.333333333333333,48.764039,-105.173924
"67",108,5,1,43.52839,-109.46388
"68",109,3,0.666666666666667,42.868048,-105.866588
"69",110,5,0.4,42.771065,-105.970567
"70",111,3,0.333333333333333,42.716555,-106.029234
"71",112,3,0.666666666666667,42.758641,-106.001877
"72",113,2,0.5,41.266121,-107.252958
"73",114,2,1,43.889371,-108.793494
"74",119,1,0,42.884286,-110.078692
"75",123,2,0.5,41.266801,-106.739895
"76",124,1,1,41.183481,-106.795787
"77",125,2,1,41.473295,-104.752993
"78",126,4,1,41.557799,-104.372895
"79",127,2,0.5,41.871605,-104.148689
"80",128,3,1,42.612899,-106.964619
"81",129,5,0.4,41.898833,-104.086759
"82",130,4,0.5,41.856862,-104.26208
"83",131,4,1,41.784384,-104.254589
"84",132,6,0.833333333333333,41.541094,-104.166821
"85",133,4,0.75,41.50787,-104.513173
"86",134,4,0.25,41.514319,-104.253001
"87",136,4,0.5,44.458042,-104.734701
"88",137,4,0.5,44.23076,-104.447036
"89",142,4,0.75,41.74129,-110.527686
"90",144,2,0.5,41.589496,-109.981561
"91",145,1,1,41.781522,-110.274596
"92",146,4,0.5,41.766154,-110.317479
"93",147,3,0.666666666666667,41.757628,-110.457452
"94",150,2,1,41.714073,-110.113561
"95",154,2,1,41.051311,-109.946599
"96",156,3,0.333333333333333,46.067817,-104.335853
"97",157,3,1,42.35996,-106.134575
"98",159,2,1,41.566736,-110.512431
"99",160,1,1,44.829905,-104.811765
"100",161,2,1,44.934343,-104.609679
"101",162,3,0.666666666666667,44.687288,-104.918288
"102",163,5,0.4,44.987848,-104.475741
"103",165,3,1,44.924508,-105.348
"104",166,4,0.75,44.648542,-105.308249
"105",167,5,0.8,45.106295,-105.328998
"106",168,3,0,41.039634,-107.656907
"107",169,3,0.666666666666667,41.028645,-107.549003
"108",170,2,1,42.535302,-105.419542
"109",172,6,0.5,42.198743,-104.566707
"110",174,4,1,43.25188,-104.48632
"111",175,3,1,41.160205,-105.817012
"112",176,1,1,40.73475,-105.875695
"113",177,2,1,41.988301,-105.319261
"114",178,3,1,41.92926,-105.40961
"115",179,5,0.6,42.015525,-105.201336
"116",180,4,1,41.477184,-105.743088
"117",182,2,1,40.943419,-105.977912
"118",183,2,1,40.936346,-105.968901
"119",184,5,0.6,42.124164,-104.847058
"120",185,1,1,42.106864,-105.091272
"121",187,4,0.75,41.340974,-104.904746
"122",188,3,0.666666666666667,41.238107,-104.479024
"123",189,3,1,41.220376,-104.344138
"124",191,1,0,41.051566,-104.938733
"125",192,2,1,40.89936,-104.871515
"126",193,1,1,41.113307,-102.534
"127",194,2,1,42.592422,-107.953685
"128",198,1,1,41.131589,-104.25381
"129",199,1,0,41.410841,-110.57477
"130",200,1,1,41.342418,-110.615695
"131",201,2,0.5,41.319457,-110.619814
"132",204,5,0.6,46.446535,-108.512596
"133",207,3,0.666666666666667,46.467467,-110.228999
"134",208,2,0.5,46.645785,-107.820661
"135",210,2,0.5,42.863943,-109.892345
"136",211,3,0.666666666666667,42.800128,-110.491029
"137",222,1,1,40.983608,-106.079616
"138",224,4,0.5,43.651063,-107.374191
"139",226,3,0.333333333333333,44.215476,-106.154349
"140",228,4,0.5,41.125931,-104.822836
"141",229,8,0.5,44.427225,-106.138658
"142",230,6,0.833333333333333,43.688689,-106.402727
"143",231,3,0.333333333333333,41.179588,-104.930455
"144",232,2,1,41.137566,-104.844259
"145",233,4,0.25,46.385219,-109.635054
"146",235,2,1,41.689856,-110.557113
"147",236,5,0.4,47.059292,-109.204
"148",239,2,1,41.94375,-110.388607
"149",240,4,0.25,41.293185,-107.273544
"150",241,2,1,42.10522,-105.650871
"151",243,3,1,42.196612,-105.306956
"152",244,3,0.666666666666667,42.178292,-105.705019
"153",245,4,0.25,42.164603,-105.013292
"154",247,5,0.6,41.750711,-106.948734
"155",250,4,0.5,41.442627,-106.779817
"156",252,2,0.5,47.711219,-109.655301
"157",253,1,0,41.389232,-109.623061
"158",254,1,0,42.86251,-109.864045
"159",256,1,1,44.477696,-104.095595
"160",257,3,1,43.625684,-109.519894
"161",258,3,0.666666666666667,42.679932,-108.665379
"162",259,3,1,42.451874,-104.36081
"163",261,2,1,44.567995,-104.069646
"164",262,2,1,44.82017,-106.080514
"165",263,3,1,44.145615,-106.140716
"166",264,2,1,43.892458,-106.169814
"167",265,1,1,43.694335,-106.283797
"168",266,5,0.4,45.056612,-105.871871
"169",267,2,1,44.929736,-105.976797
"170",268,2,1,44.918029,-106.019506
"171",269,2,0.5,44.889753,-106.049275
"172",270,2,1,44.650361,-106.130388
"173",271,6,0.5,44.980584,-106.835175
"174",273,1,0,42.404609,-104.363365
"175",274,4,0.5,46.306642,-105.286906
"176",275,3,0.666666666666667,46.071967,-110.633427
"177",276,2,1,46.01693,-110.640194
"178",277,3,0.333333333333333,47.064691,-109.721529
"179",278,2,0.5,44.492508,-104.109208
"180",279,2,1,41.228697,-107.366931
"181",280,3,1,41.096214,-107.379773
"182",281,1,1,41.251123,-107.348245
"183",282,2,0.5,44.77099,-107.4712
"184",284,2,0.5,42.49949,-110.522298
"185",285,3,0.333333333333333,43.876649,-103.344569
"186",286,3,0.333333333333333,44.595341,-103.890729
"187",287,3,0.666666666666667,44.575768,-104.012985
"188",288,2,1,43.776417,-103.398505
"189",289,2,1,43.877099,-103.439432
"190",290,3,0.666666666666667,43.685421,-103.473043
"191",291,3,0.666666666666667,43.718281,-103.368151
"192",292,3,0.666666666666667,43.727262,-103.438566
"193",293,3,0.666666666666667,43.717818,-103.489303
"194",294,4,0.75,43.718629,-103.489702
"195",295,3,0.333333333333333,43.434144,-103.481253
"196",296,2,0.5,43.402998,-103.411934
"197",298,1,0,43.447191,-103.504596
