RepeatID,GNIS_NAME.x,GearMiss,Gear.x,Gear.y,Party.x,Party.y,Database.x,Database.y,Month.x,Month.y,F_MAUG_HIS.x,GNIS_NAME.y,F_MAUG_HIS.y
217,Missouri River,,Gill netting | Gill netting | Gill netting | Seine | Seine | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting,Trammel nets | Trammel nets | Trammel nets | Trawl,"Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt | Baxter, Matt |","Haddix, Tyler | Haddix, Tyler | Haddix, Tyler | Haddix, Tyler","Montana Fish, Wildlife & Parks","Montana Fish, Wildlife & Parks",10,5,6431.306469,Missouri River,6431.306469
212,Missouri River,,Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting | Gill netting,Trammel nets | Trammel nets | Trammel nets | Trammel nets | Trammel nets | Trammel nets | Trammel nets | Trammel nets | Trammel nets | Trammel nets | Trammel nets | Trammel nets | Trammel nets,"Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill","Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill | Gardner, Bill","Montana Fish, Wildlife & Parks","Montana Fish, Wildlife & Parks",5,4,5824.550261,Missouri River,5824.550261
35,Yellowstone River,M,Trammel nets | Seine | Seine | Trammel nets | Trammel nets | Trammel nets,| | |,"Riggs, Vic | Riggs, Vic | Riggs, Vic | Riggs, Vic | Riggs, Vic | Riggs, Vic",| | |,"Montana Fish, Wildlife & Parks",Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species data,10,10,16110.7298,Yellowstone River,16110.7298
29,Yellowstone River,M,| | | | | | |,| |,| | | | | | |,| |,Global Biodiversity Information Facility NMNH Extant Specimen Records | Global Biodiversity Information Facility NMNH Extant Specimen Records | Global Biodiversity Information Facility NMNH Extant Specimen Records | Global Biodiversity Information Facili,Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species data,7,9,16050.53434,Yellowstone River,16050.55241
33,Yellowstone River,M,Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine | Seine,Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown,"Riggs, Vic | Riggs, Vic | Riggs, Vic | Riggs, Vic | Riggs, Vic | Riggs, Vic | Riggs, Vic | Riggs, Vic | Riggs, Vic | Riggs, Vic","Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike | Backes, Mike","Montana Fish, Wildlife & Parks","Montana Fish, Wildlife & Parks",9,8,15996.63732,Yellowstone River,15996.63732
36,Yellowstone River,M,Electrofishing | Electrofishing | Electrofishing | Electrofishing | Electrofishing,| |,"Frazer, Ken | Frazer, Ken | Frazer, Ken | Frazer, Ken | Frazer, Ken",| |,"Montana Fish, Wildlife & Parks",Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species data,10,8,11997.05231,Yellowstone River,11997.01439
37,Yellowstone River,M,Jet Boat- Boom anodes | Jet Boat- Boom anodes | Jet Boat- Boom anodes | Jet Boat- Boom anodes | Jet Boat- Boom anodes | Jet Boat- Boom anodes | Jet Boat- Boom anodes | Jet Boat- Boom anodes | Jet Boat- Boom anodes | Jet Boat- Boom anodes | Jet Boat- Boom,| | | |,| | | | | | | | | | | | | | | | | |,| | | |,"Montana Fish, Wildlife & Parks",Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species data,10,7,11997.01439,Yellowstone River,15996.63151
38,Yellowstone River,M,0 | Jet Boat- Boom anodes | Jet Boat- Boom anodes | Jet Boat- Boom anodes,| | | |,0 | | |,| | | |,"Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Montana Fish, Wildlife & Parks",Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species data,10,7,11951.26632,Yellowstone River,11951.26632
55,Bighorn River,M,| | | | | | | | 0,Trawls | Trawls | Trawls | Trawls | Trawls | Trawls | Trawls | Trawls,Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden,JAS | JAS | JAS | JAS | JAS | JAS | JAS | JAS,Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers,Wyoming Game & Fish Dept,10,7,1964.771645,Bighorn River,1955.158766
56,Bighorn River,M,| | | | |,Trawls | Trawls | Trawls | Trawls | Trawls | Trawls | Trawls,Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden | Collector(s): Pete Hayden,JAS | JAS | JAS | JAS | JAS | JAS | JAS,Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers,Wyoming Game & Fish Dept,10,7,1954.616939,Bighorn River,1954.637377
