SampleNum,GNIS_NAME,Month,Year,Gear,Database,Party,HUC6,STATE,OBSPRED_ID,FTYPE,WATERBODY,TAILWATER,ELEV,CANOPY,SLOPE,PRECIP,CUMDRAINAG,Y_COORD,NLCD11PC,GLACIER,BFI,Air_Aug,Flow_Aug,COMID,S1_93_11,S30_2040D,S32_2080D,RepeatID,TIME,HUC2,HUC4,Yrange,LATITUDE,LONGITUDE,F_MAUG_HIS,F_BFI_HIST,FireYear,DSbarrier,FRAG_NUM,Length_km,EB,LL,GR,ONC,TGT,SPK,WCT,CIS,LWF,RB,KOK,MWF,LT,LMB,SMB,BG,PUMP,GSUN,BLCR,WHCR,WBS,RKB,NRBDC,BMSH,CMSH,LSCH,RDSH,RTCH,LKCH,HHCH,GILA,SMMN,WSMN,BRMN,PLMN,WS_PLMN,STCH,FSDC,SFCH,NPDC,STR,GSH,EMSH,SPSH,SDSH,FHMN,FHCH,SPDC,LNDC,RSSH,CRCH,GDF,CARP,BLBH,YLBH,CCAT,SCAT,LING,DRUM,PKF,PTMN,GE,PF,IOWA,JDT,ODT,YP,SGR,WE,NP,RMCOT,COLCOT,BRSB,PSTRG,SSTRG,RCSU,LNSU,WSU,MTSU,PLSU,BSU,SMBUF,BMBUF,BHSU,BHxWSU,FMSU,FMxBHSU,FMxWSU,QBK,SHRH,GAM,GZS,HYBOG,RMCT,numSp,PU
N65,Coal Creek,7,2009,Electrofishing,EPA NRSA 2008-2009,,101900,Colorado,108054,StreamRiver,0,0,1671.83,19.2,0.01278267,421.9,69.4,1130604.94,0.159519,-9999,59,18.13,7.11,2891266,17.26,18.11,18.69,462,LATE,10,1019,30,39.952073,-105.168458,1.33224029,0.36616728,0,0,171,21.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PLAT
N64,Coal Creek,0,1980,Electrofishing,Propst 1982,David Propst,101900,Colorado,108051,StreamRiver,0,0,1711.6,14.21,0.01926736,450.4,62.46,1128989.92,0.159942,-9999,61,18.13,7.11,2891354,16.87,17.72,18.3,462,EARLY,10,1019,30,39.938251,-105.194553,1.28982801,0.3583012,0,0,171,21.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,PLAT
N63,East Plum Creek,7,2008,Electrofishing,EPA NRSA 2008-2009,,101900,Colorado,104340,StreamRiver,0,0,1858.93,11.96,0.01080077,459.5,272.51,1071485.06,0.045576,-9999,45,18.13,7.11,191819,18.74,19.59,20.17,461,LATE,10,1019,29,39.388955,-104.867298,1.95247119,0.64205142,0,0,174,28.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,PLAT
N62,East Plum Creek,0,1980,Electrofishing,Propst 1982,David Propst,101900,Colorado,104338,StreamRiver,0,0,1875.79,12.88,0.01080077,459.5,272.51,1069989.7,0.045576,-9999,46,18.13,7.11,191819,18.55,19.41,19.98,461,EARLY,10,1019,29,39.368965,-104.862161,1.78464158,0.64131678,0,0,174,28.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,PLAT
N61,West Plum Creek,7,2008,Electrofishing,EPA NRSA 2008-2009,,101900,Colorado,103846,StreamRiver,0,0,1835.2,13.67,0.0079397,498.3,189.43,1065313.55,0.094548,-9999,54,18.13,7.11,191839,19.22,20.07,20.65,460,LATE,10,1019,29,39.241463,-104.958115,0.74130352,0.6167467,0,0,175,12.236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,PLAT
N60,West Plum Creek,0,1980,Electrofishing,Propst 1982,David Propst,101900,Colorado,103844,StreamRiver,0,0,1850.57,11.77,0.0079397,498.3,189.43,1063637.93,0.094548,-9999,51,18.13,7.11,191839,19.42,20.27,20.85,460,EARLY,10,1019,29,39.324322,-104.972104,1.66040586,0.61736672,0,0,175,12.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,PLAT
N54,South Platte River,0,1980,Electrofishing,Propst 1982,David Propst,101900,Colorado,108236,StreamRiver,0,0,1527.53,6.95,1.00E-05,371.3,12216.3,1129504.59,0.667285,-9999,50,18.13,7.11,229493,21.28,22.14,22.72,457,EARLY,10,1019,39,39.919561,-104.872391,658.1175771,0.35373017,0,1,172,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,PLAT
N55,South Platte River,8,2018,Electrofishing,EPA NRSA 2018-2019,,101900,Colorado,108235,StreamRiver,0,0,1527.81,4.49,1.00E-05,371.3,12216.3,1128942.12,0.667285,-9999,48,18.13,7.11,229493,21.57,22.43,23,457,LATE,10,1019,39,39.912259,-104.882145,658.1175771,0.35373017,0,1,172,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,PLAT
N51,Cache la Poudre River,0,2017,,Haworth & Bestgen 2024,,101900,Colorado,112567,StreamRiver,0,0,1481.04,18.28,0.00147416,379.8,3985.62,1197419.71,0.953942,-9999,61,18.13,7.11,2901943,18.37,19.22,19.8,455,LATE,10,1019,25,40.549171,-105.002514,368.4412024,0.22349793,0,1,169,17.667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,PLAT
N50,Cache la Poudre River,0,1993,,Haworth & Bestgen 2024,,101900,Colorado,112567,StreamRiver,0,0,1481.04,18.28,0.00147416,379.8,3985.62,1197419.71,0.953942,-9999,61,18.13,7.11,2901943,18.37,19.22,19.8,455,EARLY,10,1019,25,40.549171,-105.002514,368.4412024,0.22349793,0,1,169,17.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,PLAT
