"","Species","PropContributionToTurnover","CommonName"
"1","WSU",0.0672333848531685,"White Sucker"
"2","FHMN",0.0656877897990726,"Fathead Minnow"
"3","LNDC",0.0618238021638331,"Longnose Dace"
"4","LNSU",0.0417310664605873,"Longnose Sucker"
"5","GSUN",0.0401854714064915,"Green Sunfish"
"6","SDSH",0.0370942812982998,"Sand Shiner"
"7","CARP",0.0370942812982998,"Common Carp"
"8","CRCH",0.0340030911901082,"Creek Chub"
"9","SCAT",0.0316846986089645,"Stonecat"
"10","BRMN",0.0301391035548686,"Brassy Minnow"
"11","PLMN",0.0293663060278207,"Plains Minnow"
"12","BLBH",0.0285935085007728,"Black Bullhead"
"13","PLSU",0.027047913446677,"Plains Sucker"
"14","SHRH",0.027047913446677,"Shorthead Redhorse"
"15","LKCH",0.0262751159196291,"Lake Chub"
"16","FHCH",0.0255023183925811,"Flathead Chub"
"17","CCAT",0.0255023183925811,"Channel Catfish"
"18","RB",0.0247295208655332,"Rainbow Trout"
"19","RCSU",0.0247295208655332,"River Carpsucker"
"20","BRSB",0.0231839258114374,"Brook Stickleback"
"21","LL",0.0224111282843895,"Brown Trout"
"22","PKF",0.0208655332302937,"Northern Plains Killifish"
"23","IOWA",0.0170015455950541,"Iowa Darter"
"24","EB",0.0162287480680062,"Brook Trout"
"25","SMB",0.0154559505409583,"Smallmouth Bass"
"26","GE",0.0139103554868624,"Goldeye"
"27","WSMN",0.0123647604327666,"Western Silvery Minnow"
"28","JDT",0.0123647604327666,"Johnny Darter"
"29","NP",0.0123647604327666,"Northern Pike"
"30","NRBDC",0.0108191653786708,"Northern Redbelly Dace"
"31","LMB",0.00927357032457496,"Largemouth Bass"
"32","BMSH",0.00927357032457496,"Bigmouth Shiner"
"33","PTMN",0.00927357032457496,"Plains Topminnow"
"34","CMSH",0.00850077279752705,"Common Shiner"
"35","YP",0.00850077279752705,"Yellow Perch"
"36","HHCH",0.00772797527047913,"Hornyhead Chub"
"37","ONC",0.00618238021638331,""
"38","RKB",0.00618238021638331,"Rock Bass"
"39","RDSH",0.00618238021638331,"Red Shiner"
"40","STR",0.00618238021638331,"Central Stoneroller"
"41","GSH",0.00540958268933539,"Golden Shiner"
"42","WE",0.00540958268933539,"Walleye"
"43","SGR",0.00463678516228748,"Sauger"
"44","STCH",0.00386398763523957,"Sturgeon Chub"
"45","EMSH",0.00386398763523957,"Emerald Shiner"
"46","BLCR",0.00309119010819165,"Black Crappie"
"47","WS_PLMN",0.00309119010819165,""
"48","MWF",0.00231839258114374,"Mountain Whitefish"
"49","PUMP",0.00231839258114374,"Pumpkinseed"
"50","WHCR",0.00231839258114374,"White Crappie"
"51","SMMN",0.00231839258114374,"Suckermouth Minnow"
"52","NPDC",0.00231839258114374,"Northern Pearl Dace"
"53","SPSH",0.00231839258114374,"Spottail Shiner"
"54","DRUM",0.00231839258114374,"Freshwater Drum"
"55","ODT",0.00231839258114374,"Orangethroat Darter"
"56","SMBUF",0.00231839258114374,"Smallmouth Buffalo"
"57","GDF",0.00154559505409583,"Goldfish"
"58","RMCOT",0.00154559505409583,"Rocky Mountain Sculpin"
"59","RMCT",0.00154559505409583,"Rocky Mountain Cutthroat Trout"
"60","SPK",0.000772797527047913,""
"61","FSDC",0.000772797527047913,"Finescale Dace"
"62","YLBH",0.000772797527047913,"Yellow Bullhead"
"63","FMSU",0.000772797527047913,"Flannelmouth Sucker"
"64","QBK",0.000772797527047913,"Quillback"
"65","GZS",0.000772797527047913,"Gizard Shad"
"66","HYBOG",0.000772797527047913,"Hybognathus"
"67","HYBOG",0.000772797527047913,""
"68","GR",0,"Arctic Grayling"
"69","TGT",0,""
"70","WCT",0,"Westslope Cutthroat Trout"
"71","CIS",0,"Cisco"
"72","LWF",0,"Lake Whitefish"
"73","KOK",0,"Kokanee"
"74","LT",0,"Lake Trout"
"75","BG",0,"Bluegill"
"76","WBS",0,"White Bass"
"77","LSCH",0,"Leatherside Chub"
"78","RTCH",0,"Roundtail Chub"
"79","GILA",0,"Utah Chub"
"80","SFCH",0,"Sicklefin Chub"
"81","SPDC",0,"Speckled Dace"
"82","RSSH",0,"Redside Shiner"
"83","LING",0,"Burbot"
"84","PF",0,"Paddlefish"
"85","COLCOT",0,"Colorado Sculpin"
"86","PSTRG",0,"Pallid Sturgeon"
"87","SSTRG",0,"Shovelnose Sturgeon"
"88","MTSU",0,"Mountain Sucker"
"89","BSU",0,"Blue Sucker"
"90","BMBUF",0,"Bigmouth Buffalo"
"91","BHSU",0,"Bluehead Sucker"
"92","BHxWSU",0,"Bluehead x White Sucker"
"93","FMxBHSU",0,"FlannelmouthxBluehead"
"94","FMxWSU",0,"FlannelmouthxWhite"
"95","GAM",0,""
