"","Species","Extirp","Remain","Col","Hist","Cont"
"1","BLBH",8,3,4,11,7
"2","BMBUF",0,1,0,1,1
"3","BMSH",9,7,3,16,10
"4","BRMN",26,13,13,39,26
"5","BRSB",13,8,6,21,14
"6","CARP",18,30,30,48,60
"7","CCAT",6,9,27,15,36
"8","CMSH",3,12,8,15,20
"9","CRCH",22,65,22,87,87
"10","DRUM",0,0,1,0,1
"11","EB",11,16,10,27,26
"12","EMSH",0,0,5,0,5
"13","FHCH",26,28,7,54,35
"14","FHMN",54,80,31,134,111
"15","FMSU",1,0,0,1,0
"16","FSDC",1,0,0,1,0
"17","GE",5,5,13,10,18
"18","GSUN",29,20,23,49,43
"19","HHCH",4,1,6,5,7
"20","HYBOG",0,4,2,4,6
"21","IOWA",12,3,10,15,13
"22","JDT",7,8,9,15,17
"23","LKCH",23,13,11,36,24
"24","LL",14,59,15,73,74
"25","LNDC",57,112,23,169,135
"26","LNSU",41,35,13,76,48
"27","MOTCOT",1,2,1,3,3
"28","MWF",0,5,3,5,8
"29","NP",7,6,9,13,15
"30","NPDC",2,2,1,4,3
"31","NRBDC",12,7,2,19,9
"32","ODT",0,0,3,0,3
"33","PKF",5,2,3,7,5
"34","PLMN",29,7,9,36,16
"35","PLSU",25,23,10,48,33
"36","PTMN",3,4,2,7,6
"37","QBK",1,0,0,1,0
"38","RB",17,23,15,40,38
"39","RCSU",10,11,22,21,33
"40","RDSH",2,3,3,5,6
"41","RMCT",0,3,1,3,4
"42","SCAT",14,18,27,32,45
"43","SDSH",20,49,28,69,77
"44","SGR",4,0,2,4,2
"45","SHRH",12,11,23,23,34
"46","SMB",2,1,18,3,19
"47","SMBUF",0,0,3,0,3
"48","SMMN",1,2,2,3,4
"49","STCH",5,5,0,10,5
"50","STR",1,17,7,18,24
"51","WSMN",6,1,10,7,11
"52","WSU",52,135,35,187,170
"53","WS_PLMN",1,3,3,4,6
