GNIS_NAME,RepeatID,pNat,pComm,nClnzSp,rGlac,Turnovr,huc6
North Platte River,247,0.571428571,0.5,2,0.5,0.6,101800
Encampment River,123,0.5,0.8,0,0.999,0.2,101800
Encampment River,124,0.999,0.999,1,0.999,0.25,101800
Big Creek,322,0.666666667,0.666666667,1,0.5,0.428571429,101800
Pass Creek,383,0.875,0.875,1,0.999,0.222222222,101800
Medicine Bow River,374,0.6,0.6,2,0.5,0.571428571,101800
Wagonhound Creek,26,0.5,0.5,3,0.5,0.714285714,101800
Little Medicine Bow River,158,0.999,0.999,2,0.999,0.285714286,101800
Little Medicine Bow River,157,0.999,0.999,2,0.999,0.333333333,101800
Spring Creek,2,0.999,0.999,3,0.999,0.5,101800
Horse Creek,128,0.999,0.999,1,0.999,0.166666667,101800
Sweetwater River,19,0.8,0.833333333,1,0.999,0.285714286,101800
Long Creek,194,0.999,0.999,1,0.999,0.25,101800
Sweetwater River,17,0.999,0.857142857,2,0.999,0.333333333,101800
Sweetwater River,20,0.666666667,0.6,0,0.999,0.4,101800
Sweetwater River,21,0.999,0.999,5,0.999,0.384615385,101800
Deer Creek,109,0.714285714,0.75,3,0.999,0.454545455,101800
Deer Creek,110,0.571428571,0.666666667,1,0.5,0.4,101800
Deer Creek,112,0.75,0.666666667,3,0.999,0.555555556,101800
Deer Creek,111,0.333333333,0.25,2,0.5,0.833333333,101800
Box Elder Creek,89,0.666666667,0.8,1,0.999,0.333333333,101800
Box Elder Creek,88,0.6,0.714285714,1,0.999,0.375,101800
Box Elder Creek,90,0.999,0.333333333,3,0.999,0.833333333,101800
North Platte River,246,0.3,0.3,4,0.75,0.785714286,101800
North Platte River,220,0.5,0.2,6,0.75,0.909090909,101800
La Bonte Creek,170,0.857142857,0.75,2,0.999,0.4,101800
North Platte River,242,0.8,0.727272727,0,0.666666667,0.272727273,101800
North Platte River,248,0.001,0.001,3,0.001,0.999,101800
Rawhide Creek,260,0.25,0.25,3,0.999,0.857142857,101800
Rawhide Creek,273,0.001,0.333333333,1,0.5,0.714285714,101800
Rawhide Creek,259,0.75,0.75,1,0.999,0.333333333,101800
North Platte River,221,0.6,0.5,7,0.999,0.769230769,101800
North Platte River,219,0.7,0.727272727,9,0.75,0.6,101800
North Platte River,249,0.4,0.333333333,3,0.999,0.733333333,101800
Laramie River,180,0.999,0.999,3,0.999,0.375,101800
Laramie River,186,0.999,0.999,5,0.999,0.5,101800
Laramie River,323,0.5,0.6,0,0.001,0.4,101800
Laramie River,175,0.999,0.999,4,0.999,0.444444444,101800
Laramie River,182,0.999,0.999,0,0.999,0.001,101800
Laramie River,183,0.999,0.999,0,0.999,0.001,101800
Laramie River,176,0.999,0.999,0,0,0.001,101800
Laramie River,184,0.666666667,0.666666667,9,0.666666667,0.733333333,101800
North Laramie River,245,0.545454545,0.545454545,7,0.5,0.666666667,101800
North Laramie River,243,0.999,0.999,1,0.999,0.166666667,101800
North Laramie River,241,0.999,0.666666667,1,0.999,0.428571429,101800
North Laramie River,244,0.75,0.666666667,1,0.999,0.428571429,101800
Laramie River,173,0.75,0.777777778,4,0.999,0.461538462,101800
Laramie River,185,0.888888889,0.909090909,16,0.999,0.62962963,101800
Laramie River,179,0.5,0.571428571,3,0.5,0.529411765,101800
Laramie River,171,0.999,0.999,6,0.999,0.545454545,101800
Laramie River,177,0.833333333,0.875,4,0.999,0.416666667,101800
Laramie River,178,0.999,0.833333333,4,0.999,0.5,101800
Chugwater Creek,98,0.666666667,0.666666667,1,0.999,0.428571429,101800
Laramie River,172,0.416666667,0.461538462,6,0.666666667,0.684210526,101800
Horse Creek,129,0.4,0.5,4,0.25,0.625,101800
Horse Creek,135,0.8,0.8,8,0.999,0.692307692,101800
Horse Creek,127,0.8,0.8,11,0.666666667,0.75,101800
Horse Creek,130,0.692307692,0.733333333,5,0.75,0.45,101800
Horse Creek,131,0.916666667,0.923076923,7,0.999,0.4,101800
Bear Creek,41,0.999,0.75,3,0.999,0.571428571,101800
Horse Creek,132,0.909090909,0.909090909,1,0.75,0.166666667,101800
Horse Creek,134,0.5,0.428571429,4,0.5,0.727272727,101800
Horse Creek,126,0.999,0.999,1,0.999,0.142857143,101800
Horse Creek,133,0.8,0.714285714,2,0.999,0.444444444,101800
Horse Creek,125,0.999,0.999,2,0.999,0.333333333,101800
