"pointid","xcoord","ycoord"
1,-1051523.1831,2071411.9868
2,-1051981.6686,2070282.2172
3,-1052802.2293,2069314.4865
4,-1050402.8914,2068862.8361
5,-1156919.8735,2220479.49479999
6,-1156880.9338,2219903.0963
7,-1156863.873,2219877.4964
8,-1157107.1171,2220451.1162
9,-1157297.8784,2220717.4938
10,-1157150.8811,2221760.4987
11,-1157262.8712,2221102.49459999
12,-1158557.88,2225939.49729999
13,-1158501.8705,2225799.49460001
14,-1157031.8799,2230783.4934
15,-1157297.874,2230993.501
16,-1156660.8793,2231000.4967
17,-1156387.8691,2231413.5011
18,-1156485.8779,2231315.49669999
19,-1155085.8697,2232687.4964
20,-1155211.8796,2232547.499
21,-1154455.8755,2233415.504
22,-1154238.875,2233814.4969
23,-1153419.8701,2234913.49509999
24,-1153797.8775,2234843.5007
25,-1153139.8761,2235249.4996
26,-1151585.8779,2237237.50369999
27,-1151235.88,2237797.497
28,-1154161.869,2234045.4994
29,-1150834.1274,2238140.8007
30,-1151067.8765,2238077.4985
31,-1150304.8775,2238588.5017
32,-1150087.8765,2240107.4996
33,-1150185.8734,2239911.4969
34,-1145747.8759,2247737.5024
35,-1146482.876,2247212.49809999
36,-1145505.4002,2251811.65950001
37,-1145522.965,2251788.50970001
38,-1145369.8735,2251321.4931
39,-1145311.8494,2251131.8091
40,-1145467.8754,2248983.5025
41,-1145579.8743,2248563.4951
42,-1145355.8724,2249893.4978
43,-1145397.8762,2249907.50180001
44,-1145516.8748,2251902.4915
45,-1145145.8763,2250383.4972
46,-1145103.8753,2249963.4981
47,-1145810.873,2248542.4995
48,-1145102.7523,2250695.9906
49,-1145299.8764,2253561.50309999
50,-1145005.8779,2253827.49679999
51,-1144823.8748,2254079.4975
52,-1144403.8732,2254513.5029
53,-1143717.875,2254597.49960001
54,-1138457.429,2254066.38959999
55,-1138554.6675,2254238.31329999
56,-1138586.8762,2254254.4981
57,-1138154.5217,2254321.68519999
58,-1136102.9938,2254441.5421
59,-1135562.9341,2253393.07179999
60,-1134812.2434,2252701.2799
61,-1134771.4833,2252648.77219999
62,-1134023.3789,2250776.2589
63,-1133968.9908,2250608.03240001
64,-1133690.0027,2250058.1776
65,-1133247.2769,2249887.1552
66,-1133321.9857,2250003.81589999
67,-1133006.057,2248941.9347
68,-1132479.8201,2247939.2961
69,-1132478.923,2247667.7832
70,-1133945.8696,2256473.5009
71,-1134911.874,2256109.4989
72,-1136241.8729,2256249.5005
73,-1133854.4549,2256630.8199
74,-1133731.2808,2259031.5334
75,-1133645.2632,2258835.4223
76,-1134064.092,2261090.89490001
77,-1134117.3544,2261023.7829
78,-1133784.0592,2261398.59849999
79,-1133610.0868,2261279.9966
80,-1133567.2355,2261276.2829
81,-1133454.9417,2261363.1446
82,-1133427.8922,2261529.7321
83,-1133422.7106,2261686.58810001
84,-1133598.6458,2262208.58189999
85,-1132292.4153,2267396.39010001
86,-1132405.2131,2262583.573
87,-1133026.431,2269400.81540001
88,-1132781.9279,2268806.76659999
89,-1133330.81,2272453.0103
90,-1131507.729,2275998.4612
91,-1131504.4101,2275083.3967
92,-1131546.4833,2276342.6046
93,-1131473.2359,2276840.7924
94,-1131560.7074,2277912.89240001
95,-1131903.6467,2278746.8306
96,-1131858.8548,2278895.26319999
97,-1132130.1899,2279880.6456
98,-1132143.6479,2280153.88690001
99,-1132183.1518,2280371.5323
100,-1132141.6333,2280636.6798
101,-1132208.7203,2280840.288
102,-1132387.8763,2281636.4443
103,-1132407.4275,2281781.4129
104,-1132641.6794,2282185.2331
105,-1132907.3783,2283035.4182
106,-1132856.2823,2283035.6646
107,-1132768.9859,2283056.417
108,-1132664.282,2283247.69889999
109,-1132209.5335,2283545.1413
110,-1132133.4835,2284931.4947
111,-1131203.6373,2286915.6737
112,-1131320.1271,2286661.564
113,-1131679.9251,2287809.66689999
114,-1133151.9548,2293124.1675
115,-1133179.6376,2292937.69880001
116,-1133455.4414,2293252.3459
117,-1136378.6425,2293468.3381
118,-1132588.3198,2292644.19969999
119,-1140231.9996,2294756.37729999
120,-1145054.904,2297656.9363
121,-1143741.1845,2296108.82260001
122,-1144639.4623,2298059.8478
123,-1144540.6491,2300187.0742
124,-1142833.3966,2301897.6807
125,-1142806.0164,2302438.7626
126,-1133850.093,2322113.01499999
127,-1134757.8723,2321503.4966
128,-1132657.8782,2323701.50180001
129,-1133021.8738,2322987.5028
130,-1129311.8734,2325493.5032
131,-1130237.9418,2324446.408
132,-1129213.8794,2326487.5008
133,-1128401.8749,2327439.497
134,-1128233.8749,2327901.49700001
135,-1128513.8734,2329861.5004
136,-1128415.8732,2329203.5051
137,-1128597.8744,2330113.49919999
138,-1128345.8694,2337841.5034
139,-1128532.3448,2337032.651
140,-1126805.8746,2339927.502
141,-1126770.8765,2340648.5052
142,-1138131.7474,2272137.57679999
143,-1138069.8234,2271153.791
144,-1137961.7433,2272215.491
145,-1138085.5181,2272445.9998
146,-1139847.8705,2277130.122
147,-1140352.564,2277818.3333
148,-1141397.7569,2279313.80280001
149,-1141488.3763,2279203.3293
150,-1149214.6326,2284834.16770001
151,-1149120.681,2284745.1684
152,-1147210.201,2283278.11360001
153,-1149375.8382,2285514.722
154,-1150393.281,2286618.02070001
155,-1152214.4643,2288580.62789999
156,-1151898.3232,2288047.4902
157,-1152774.9148,2288778.1748
158,-1153841.5751,2289604.44970001
159,-1154034.1179,2289785.7257
160,-1154999.9517,2289665.90200001
161,-1157901.1724,2292156.1365
162,-1155408.0042,2289637.673
163,-1158013.3882,2292124.1257
164,-1165247.4838,2294891.9878
165,-1168110.8294,2293123.0322
166,-1170101.1822,2292386.9028
167,-1174094.2357,2290094.1262
168,-1174376.5659,2290354.2637
169,-1160120.3823,2284994.1639
170,-1150110.0295,2285012.0933
171,-1163209.3675,2284777.3857
172,-1145785.4173,2259299.12930001
173,-1144389.7216,2254555.2233
174,-1144568.1443,2261135.908
175,-1143577.8079,2262241.3867
176,-1143559.1375,2262587.5878
177,-1142963.169,2263940.8279
178,-1142701.6935,2264441.946
179,-1142186.0447,2266929.0981
180,-1141823.2587,2267117.7371
181,-1141361.5811,2268136.8415
182,-1141805.1246,2271669.73330001
183,-1142251.1932,2271896.83499999
184,-1143624.3678,2273128.76679999
185,-1144047.6718,2273218.0327
186,-1144316.6895,2274439.5862
187,-1144404.5608,2274483.7762
188,-1159111.0229,2207004.9183
189,-1159037.1565,2206918.8428
190,-1161108.397,2208183.5122
191,-1160113.4542,2207449.9018
192,-1161195.8468,2208349.23159999
193,-1161358.7049,2208505.55890001
194,-1161451.682,2208651.40729999
195,-1162112.7557,2208820.1877
196,-1165718.6735,2209173.4046
197,-1165277.8123,2208965.1705
198,-1166222.7341,2208669.3038
199,-1166449.4444,2208416.0408
200,-1167513.4521,2207943.7077
201,-1169396.2641,2207866.02200001
202,-1168838.1729,2207910.2997
203,-1170319.2838,2208123.3029
204,-1169800.7906,2207857.86220001
205,-1170710.7946,2208819.7236
206,-1173685.2727,2210655.4525
207,-1174900.9255,2210768.31799999
208,-1175671.3446,2210888.37260001
209,-1176618.5043,2210753.2199
210,-1177719.8133,2211097.0714
211,-1179444.1153,2211088.0893
212,-1179531.0223,2211137.5559
213,-1179516.9437,2211246.71219999
214,-1179600.6187,2211233.5748
215,-1179684.1393,2211171.2477
216,-1164987.7804,2283352.2871
217,-1143226.7043,2308352.21029999
218,-1142899.5761,2308403.9923
219,-1143544.5178,2308260.2676
220,-1149756.1696,2310938.65590001
221,-1146371.1136,2308440.67649999
222,-1144237.1781,2308119.7426
223,-1156100.226,2313031.8393
224,-1154360.2533,2312590.69769999
225,-1158875.8958,2313336.1714
226,-1161911.1583,2309921.59809999
227,-1161304.5029,2310700.1013
228,-1166245.4187,2311456.466
229,-1166339.8562,2311470.9401
230,-1135380.9051,2268976.8189
231,-1134088.988,2269066.0387
232,-1168981.1823,2217096.6832
233,-1160083.1782,2214554.4502
234,-1170264.7179,2218154.2546
235,-1170482.0885,2218787.8129
236,-1170438.201,2219477.26780001
237,-1171843.4881,2222147.4699
238,-1171127.2472,2221018.6299
239,-1171061.0093,2220783.3899
240,-1172332.1209,2223011.27960001
241,-1176717.4927,2224187.01949999
242,-1169151.4986,2257076.2522
243,-1164189.8725,2255730.0083
244,-1169415.7033,2257504.52209999
245,-1171736.4771,2258750.5644
246,-1178029.4905,2257846.7537
247,-1180762.248,2257991.61179999
248,-1180981.9774,2257678.96510001
249,-1181454.1722,2257120.77189999
250,-1181355.8007,2257245.0648
251,-1186129.3596,2257982.2111
252,-1158474.9946,2254621.0785
253,-1157168.0464,2254244.6131
254,-1159589.4201,2313401.0098
255,-1160775.2871,2312798.65650001
256,-1163778.9284,2313703.4954
257,-1166134.8489,2314514.6749
258,-1134570.605,2320338.9357
259,-1134519.8753,2320355.4994
260,-1129014.5541,2343877.66359999
261,-1126794.0122,2340629.6583
262,-1130255.8009,2344244.4152
263,-1131413.0271,2259401.1819
264,-1132839.8719,2257005.491
265,-1133830.8692,2256550.60179999
266,-1160919.2006,2255153.5
267,-1141422.2598,2306378.4931
268,-1141855.8697,2304507.4987
269,-1138985.2529,2253615.7474
270,-1139011.8168,2253634.46390001
271,-1138775.8741,2253673.499
272,-1133511.9339,2258110.347
273,-1133619.5997,2257343.14760001
274,-1133863.3454,2258354.7743
275,-1148883.8737,2243845.49910001
276,-1148925.8737,2243495.4957
277,-1148526.8728,2244090.4998
278,-1148834.876,2243894.4935
279,-1148463.8724,2244475.49499999
280,-1148439.6977,2244499.66819999
281,-1147791.8768,2244629.4912
282,-1147749.874,2244587.49610001
283,-1146727.8682,2246463.50259999
284,-1146965.8699,2245903.49949999
285,-1146643.8727,2246897.4929
286,-1146685.8721,2246645.4943
287,-1159593.8719,2217049.4937
288,-1159906.1341,2216024.4628
289,-1150206.8756,2239876.4947
290,-1157487.7293,2218952.9699
291,-1157488.0849,2218952.4804
292,-1152857.1865,2311803.13869999
293,-1141913.4953,2303775.2107
294,-1141907.4093,2303218.8157
295,-1140814.9059,2294753.2514
296,-1140481.394,2294677.43740001
297,-1132085.0198,2291968.449
298,-1131587.7422,2291112.75710001
299,-1131559.2076,2290976.8263
300,-1131477.2328,2290874.3876
301,-1131505.8479,2290488.5535
302,-1131574.5173,2290351.41169999
303,-1131616.3611,2290344.6434
304,-1131592.7271,2289462.94380001
305,-1131367.6659,2288753.1082
306,-1131401.1705,2288577.228
307,-1131701.7361,2288060.8454
308,-1131601.247,2286677.0311
309,-1131661.5073,2286510.2359
310,-1132009.4098,2286088.6325
311,-1131673.7935,2285662.1735
312,-1131667.4216,2285462.3231
313,-1132293.0185,2285409.5768
314,-1132206.4923,2273641.606
315,-1132512.1983,2268002.318
316,-1132428.9396,2262599.7441
317,-1132864.4541,2262914.6465
318,-1132917.2346,2262868.13690001
319,-1132960.1855,2262853.785
320,-1133494.0001,2262330.1668
321,-1133942.7536,2260266.8288
322,-1133921.7618,2258395.3948
323,-1136396.795,2256381.1535
324,-1136566.7877,2256689.068
325,-1138628.8769,2254898.4993
326,-1138535.5729,2254633.0205
327,-1145817.8708,2248171.5045
328,-1145747.879,2247905.5016
329,-1147238.876,2245504.4983
330,-1148911.8761,2243383.4999
331,-1148855.877,2243187.4952
332,-1148869.8741,2242921.49459999
333,-1149121.8747,2242151.50419999
334,-1149198.869,2242074.4982
335,-1149331.8731,2241675.50149999
336,-1149686.4152,2241222.22860001
