"","formula","predictors","n_predictors","loocv_score"
"1","Turnover ~ scale(temp)","scale(temp)",1,NA
"2","Turnover ~ scale(barrier)","scale(barrier)",1,NA
"3","Turnover ~ scale(length)","scale(length)",1,NA
"4","Turnover ~ scale(size)","scale(size)",1,NA
"5","Turnover ~ scale(prosper)","scale(prosper)",1,NA
"6","Turnover ~ scale(crop)","scale(crop)",1,NA
"7","Turnover ~ scale(temp)*scale(barrier)","scale(temp),scale(barrier)",2,NA
"8","Turnover ~ scale(temp)*scale(length)","scale(temp),scale(length)",2,NA
"9","Turnover ~ scale(temp)*scale(size)","scale(temp),scale(size)",2,NA
"10","Turnover ~ scale(temp)*scale(prosper)","scale(temp),scale(prosper)",2,NA
"11","Turnover ~ scale(temp)*scale(crop)","scale(temp),scale(crop)",2,NA
"12","Turnover ~ scale(barrier)*scale(length)","scale(barrier),scale(length)",2,NA
"13","Turnover ~ scale(barrier)*scale(size)","scale(barrier),scale(size)",2,NA
"14","Turnover ~ scale(barrier)*scale(prosper)","scale(barrier),scale(prosper)",2,NA
"15","Turnover ~ scale(barrier)*scale(crop)","scale(barrier),scale(crop)",2,NA
"16","Turnover ~ scale(length)*scale(size)","scale(length),scale(size)",2,NA
"17","Turnover ~ scale(length)*scale(prosper)","scale(length),scale(prosper)",2,NA
"18","Turnover ~ scale(length)*scale(crop)","scale(length),scale(crop)",2,NA
"19","Turnover ~ scale(size)*scale(prosper)","scale(size),scale(prosper)",2,NA
"20","Turnover ~ scale(size)*scale(crop)","scale(size),scale(crop)",2,NA
"21","Turnover ~ scale(prosper)*scale(crop)","scale(prosper),scale(crop)",2,NA
"22","Turnover ~ scale(temp)*scale(barrier)*scale(length)","scale(temp),scale(barrier),scale(length)",3,NA
"23","Turnover ~ scale(temp)*scale(barrier)*scale(size)","scale(temp),scale(barrier),scale(size)",3,NA
"24","Turnover ~ scale(temp)*scale(barrier)*scale(prosper)","scale(temp),scale(barrier),scale(prosper)",3,NA
"25","Turnover ~ scale(temp)*scale(barrier)*scale(crop)","scale(temp),scale(barrier),scale(crop)",3,NA
"26","Turnover ~ scale(temp)*scale(length)*scale(size)","scale(temp),scale(length),scale(size)",3,NA
"27","Turnover ~ scale(temp)*scale(length)*scale(prosper)","scale(temp),scale(length),scale(prosper)",3,NA
"28","Turnover ~ scale(temp)*scale(length)*scale(crop)","scale(temp),scale(length),scale(crop)",3,NA
"29","Turnover ~ scale(temp)*scale(size)*scale(prosper)","scale(temp),scale(size),scale(prosper)",3,NA
"30","Turnover ~ scale(temp)*scale(size)*scale(crop)","scale(temp),scale(size),scale(crop)",3,NA
"31","Turnover ~ scale(temp)*scale(prosper)*scale(crop)","scale(temp),scale(prosper),scale(crop)",3,NA
"32","Turnover ~ scale(barrier)*scale(length)*scale(size)","scale(barrier),scale(length),scale(size)",3,NA
"33","Turnover ~ scale(barrier)*scale(length)*scale(prosper)","scale(barrier),scale(length),scale(prosper)",3,NA
"34","Turnover ~ scale(barrier)*scale(length)*scale(crop)","scale(barrier),scale(length),scale(crop)",3,NA
"35","Turnover ~ scale(barrier)*scale(size)*scale(prosper)","scale(barrier),scale(size),scale(prosper)",3,NA
"36","Turnover ~ scale(barrier)*scale(size)*scale(crop)","scale(barrier),scale(size),scale(crop)",3,NA
"37","Turnover ~ scale(barrier)*scale(prosper)*scale(crop)","scale(barrier),scale(prosper),scale(crop)",3,NA
"38","Turnover ~ scale(length)*scale(size)*scale(prosper)","scale(length),scale(size),scale(prosper)",3,NA
"39","Turnover ~ scale(length)*scale(size)*scale(crop)","scale(length),scale(size),scale(crop)",3,NA
"40","Turnover ~ scale(length)*scale(prosper)*scale(crop)","scale(length),scale(prosper),scale(crop)",3,NA
"41","Turnover ~ scale(size)*scale(prosper)*scale(crop)","scale(size),scale(prosper),scale(crop)",3,NA
"42","Turnover ~ scale(temp)*scale(barrier)*scale(length)*scale(size)","scale(temp),scale(barrier),scale(length),scale(size)",4,NA
"43","Turnover ~ scale(temp)*scale(barrier)*scale(length)*scale(prosper)","scale(temp),scale(barrier),scale(length),scale(prosper)",4,NA
"44","Turnover ~ scale(temp)*scale(barrier)*scale(length)*scale(crop)","scale(temp),scale(barrier),scale(length),scale(crop)",4,NA
"45","Turnover ~ scale(temp)*scale(barrier)*scale(size)*scale(prosper)","scale(temp),scale(barrier),scale(size),scale(prosper)",4,NA
"46","Turnover ~ scale(temp)*scale(barrier)*scale(size)*scale(crop)","scale(temp),scale(barrier),scale(size),scale(crop)",4,NA
"47","Turnover ~ scale(temp)*scale(barrier)*scale(prosper)*scale(crop)","scale(temp),scale(barrier),scale(prosper),scale(crop)",4,NA
"48","Turnover ~ scale(temp)*scale(length)*scale(size)*scale(prosper)","scale(temp),scale(length),scale(size),scale(prosper)",4,NA
"49","Turnover ~ scale(temp)*scale(length)*scale(size)*scale(crop)","scale(temp),scale(length),scale(size),scale(crop)",4,NA
"50","Turnover ~ scale(temp)*scale(length)*scale(prosper)*scale(crop)","scale(temp),scale(length),scale(prosper),scale(crop)",4,NA
"51","Turnover ~ scale(temp)*scale(size)*scale(prosper)*scale(crop)","scale(temp),scale(size),scale(prosper),scale(crop)",4,NA
"52","Turnover ~ scale(barrier)*scale(length)*scale(size)*scale(prosper)","scale(barrier),scale(length),scale(size),scale(prosper)",4,NA
"53","Turnover ~ scale(barrier)*scale(length)*scale(size)*scale(crop)","scale(barrier),scale(length),scale(size),scale(crop)",4,NA
"54","Turnover ~ scale(barrier)*scale(length)*scale(prosper)*scale(crop)","scale(barrier),scale(length),scale(prosper),scale(crop)",4,NA
"55","Turnover ~ scale(barrier)*scale(size)*scale(prosper)*scale(crop)","scale(barrier),scale(size),scale(prosper),scale(crop)",4,NA
"56","Turnover ~ scale(length)*scale(size)*scale(prosper)*scale(crop)","scale(length),scale(size),scale(prosper),scale(crop)",4,NA
"57","Turnover ~ scale(temp)*scale(barrier)*scale(length)*scale(size)*scale(prosper)","scale(temp),scale(barrier),scale(length),scale(size),scale(prosper)",5,NA
"58","Turnover ~ scale(temp)*scale(barrier)*scale(length)*scale(size)*scale(crop)","scale(temp),scale(barrier),scale(length),scale(size),scale(crop)",5,NA
"59","Turnover ~ scale(temp)*scale(barrier)*scale(length)*scale(prosper)*scale(crop)","scale(temp),scale(barrier),scale(length),scale(prosper),scale(crop)",5,NA
"60","Turnover ~ scale(temp)*scale(barrier)*scale(size)*scale(prosper)*scale(crop)","scale(temp),scale(barrier),scale(size),scale(prosper),scale(crop)",5,NA
"61","Turnover ~ scale(temp)*scale(length)*scale(size)*scale(prosper)*scale(crop)","scale(temp),scale(length),scale(size),scale(prosper),scale(crop)",5,NA
"62","Turnover ~ scale(barrier)*scale(length)*scale(size)*scale(prosper)*scale(crop)","scale(barrier),scale(length),scale(size),scale(prosper),scale(crop)",5,NA
"63","Turnover ~ scale(temp)*scale(barrier)*scale(length)*scale(size)*scale(prosper)*scale(crop)","scale(temp),scale(barrier),scale(length),scale(size),scale(prosper),scale(crop)",6,NA
