Species,MaxL_cm,Source
BG,25,Eckelbecker et al. 2022
BHSU,40,FishTraits
BLBH,35,Eckelbecker et al. 2022
BLCR,40,Eckelbecker et al. 2022
BMBUF,91,Eckelbecker et al. 2022
BRMN,9.7,FishTraits
BRSB,8.7,FishTraits
BSU,88,Eckelbecker et al. 2022
CARP,85,Eckelbecker et al. 2022
CCAT,132,FishTraits
CIS,46,Eckelbecker et al. 2022
CMSH,18,FishTraits
COLCOT,15,FishTraits
CRCH,30,FishTraits
DRUM,68,Eckelbecker et al. 2022
EB,56,Eckelbecker et al. 2022
EMSH,13,FishTraits
FHCH,27,Eckelbecker et al. 2022
FHMN,10,FishTraits
FMSU,56,FishTraits
FSDC,10.7,FishTraits
GAM,4,FishTraits
GAR,88,FishTraits
GDF,59,FishTraits
GE,51,Eckelbecker et al. 2022
GILA,46,Eckelbecker et al. 2022
GR,48,Eckelbecker et al. 2022
GSH,45,Eckelbecker et al. 2022
GSUN,23,Eckelbecker et al. 2022
GT,57,Eckelbecker et al. 2022
GZS,60,FishTraits
HHCH,26,FishTraits
IOWA,7.2,FishTraits
JDT,7.2,FishTraits
LING,91,Eckelbecker et al. 2022
LKCH,18,Eckelbecker et al. 2022
LL,82,Eckelbecker et al. 2022
LMB,52,Eckelbecker et al. 2022
LNDC,17,Eckelbecker et al. 2022
LNSU,60,Eckelbecker et al. 2022
LSCH,15.2,FishTraits
MTSU,25,FishTraits
MWF,58,Eckelbecker et al. 2022
NP,112,Eckelbecker et al. 2022
NPDC,16,FishTraits
NRBDC,8,FishTraits
ODT,7.2,FishTraits
PF,147,Eckelbecker et al. 2022
PKF,10,FishTraits
PLMN,13,FishTraits
PLSU,25,Eckelbecker et al. 2022
PLTM,9,FishTraits
PSTRG,147,Eckelbecker et al. 2022
PUMP,40,FishTraits
QBK,66,FishTraits
RB,83,Eckelbecker et al. 2022
RBSM,36,FishTraits
RCSU,76,Eckelbecker et al. 2022
RDSH,9,FishTraits
RKB,43,FishTraits
RMCOT,15,FishTraits
RMCT,63,Eckelbecker et al. 2022
RSSH,18,FishTraits
RTCH,43,FishTraits
SCAT,27,Eckelbecker et al. 2022
SFCH,10,FishTraits
SGR,68,Eckelbecker et al. 2022
SHRH,58,Eckelbecker et al. 2022
SMB,56,Eckelbecker et al. 2022
SMBUF,87,Eckelbecker et al. 2022
SMMN,12,FishTraits
SPDC,11,FishTraits
SPSH,15,FishTraits
SSTRG,100,FishTraits
STCH,9,FishTraits
STR,22,FishTraits
TIM,127,Eckelbecker et al. 2022
UTSU,65,FishTraits
WBS,45,FishTraits
WCT,60,Eckelbecker et al. 2022
WE,86,Eckelbecker et al. 2022
WHCR,53,FishTraits
WSMN,12,FishTraits
WS_PLMN,13,FishTraits - avg of WSMN and PLMN
WSU,56,FishTraits
YLBH,36,Eckelbecker et al. 2022
YP,57,Eckelbecker et al. 2022
HYBOG,12,"FishTraits - avg of WSMN,PLMN,BRMN"
MOTCOT,15,FishTraits
