"","formula","predictors","n_predictors","model_type","loocv_score","AIC","delta_loocv","delta_AIC"
"23","pCol ~ temp * crop","temp,crop",2,"full_interactions",0.0665558879352302,306.356269148916,0,0
"57","pCol ~ temp * length * crop","temp,length,crop",3,"full_interactions",0.0676011111570105,314.602348715357,0.0010452232217803,8.2460795664415
"60","pCol ~ temp + size + crop","temp,size,crop",3,"additive",0.0678882698171395,307.777658724655,0.00133238188190929,1.4213895757394
"22","pCol ~ temp + crop","temp,crop",2,"additive",0.0678936579642085,306.722119337628,0.00133777002897828,0.365850188712159
"56","pCol ~ temp + length + crop","temp,length,crop",3,"additive",0.0679535880410825,308.304013143282,0.00139770010585229,1.94774399436659
"98","pCol ~ temp + length + size + crop","temp,length,size,crop",4,"additive",0.0680487237860066,309.586098932878,0.00149283585077634,3.22982978396254
"88","pCol ~ temp + barrier + length + crop","temp,barrier,length,crop",4,"additive",0.068122872683931,309.210323782842,0.0015669847487008,2.85405463392647
"50","pCol ~ temp + barrier + crop","temp,barrier,crop",3,"additive",0.0681465970638267,307.884787671126,0.00159070912859642,1.52851852221011
"51","pCol ~ temp * barrier * crop","temp,barrier,crop",3,"full_interactions",0.0682303832969837,313.5279909858,0.0016744953617535,7.17172183688427
"92","pCol ~ temp + barrier + size + crop","temp,barrier,size,crop",4,"additive",0.0682587759310882,309.306282108736,0.00170288799585794,2.95001295982047
"61","pCol ~ temp * size * crop","temp,size,crop",3,"full_interactions",0.0683196708881291,314.424678381592,0.00176378295289886,8.06840923267652
"102","pCol ~ temp + size + prosper + crop","temp,size,prosper,crop",4,"additive",0.0683237460699477,309.770394928255,0.00176785813471741,3.41412577933949
"116","pCol ~ temp + barrier + length + size + crop","temp,barrier,length,size,crop",5,"additive",0.0683482472402318,310.903934275127,0.0017923593050015,4.5476651262108
"62","pCol ~ temp + prosper + crop","temp,prosper,crop",3,"additive",0.0683800223450565,308.737405546376,0.00182413440982625,2.38113639746047
"100","pCol ~ temp + length + prosper + crop","temp,length,prosper,crop",4,"additive",0.0684122190496109,310.317729874362,0.0018563311143806,3.96146072544644
"122","pCol ~ temp + length + size + prosper + crop","temp,length,size,prosper,crop",5,"additive",0.0684592976827327,311.566669074223,0.00190340974750247,5.21039992530694
"118","pCol ~ temp + barrier + length + prosper + crop","temp,barrier,length,prosper,crop",5,"additive",0.0685749314360718,311.178222693961,0.00201904350084153,4.82195354504506
"94","pCol ~ temp + barrier + prosper + crop","temp,barrier,prosper,crop",4,"additive",0.0686409188242559,309.887088156458,0.0020850308890256,3.53081900754171
"120","pCol ~ temp + barrier + size + prosper + crop","temp,barrier,size,prosper,crop",5,"additive",0.0687036733085246,311.274728245044,0.00214778537329435,4.91845909612852
"126","pCol ~ temp + barrier + length + size + prosper + crop","temp,barrier,length,size,prosper,crop",6,"additive",0.0687594064523038,312.838945653105,0.00220351851707359,6.48267650418927
"89","pCol ~ temp * barrier * length * crop","temp,barrier,length,crop",4,"full_interactions",0.0687709211832298,323.818512716811,0.00221503324799954,17.4622435678953
"2","pCol ~ temp","temp",1,"additive",0.0689011542468669,310.960796666647,0.00234526631163667,4.60452751773164
"3","pCol ~ temp","temp",1,"full_interactions",0.0689011542468669,310.960796666647,0.00234526631163667,4.60452751773164
"18","pCol ~ temp + size","temp,size",2,"additive",0.0689534476526333,312.139529076552,0.00239755971740301,5.78325992763627
"16","pCol ~ temp + length","temp,length",2,"additive",0.0691229493524323,312.872018323887,0.00256706141720206,6.51574917497146
"52","pCol ~ temp + length + size","temp,length,size",3,"additive",0.0692307317733954,314.142604171095,0.0026748438381652,7.78633502217878
"14","pCol ~ temp + barrier","temp,barrier",2,"additive",0.0693249998317631,312.670281822813,0.00276911189653288,6.31401267389703
"20","pCol ~ temp + prosper","temp,prosper",2,"additive",0.069357076111148,312.937049830817,0.00280118817591776,6.5807806819011
"58","pCol ~ temp + size + prosper","temp,size,prosper",3,"additive",0.0693708637297722,314.157894438943,0.00281497579454196,7.80162529002695
"19","pCol ~ temp * size","temp,size",2,"full_interactions",0.0693717527346893,314.721175536748,0.00281586479945903,8.36490638783204
"17","pCol ~ temp * length","temp,length",2,"full_interactions",0.0693978926337668,315.319249376603,0.00284200469853653,8.9629802276873
"63","pCol ~ temp * prosper * crop","temp,prosper,crop",3,"full_interactions",0.0694039474805104,313.058898933511,0.0028480595452802,6.7026297845951
"46","pCol ~ temp + barrier + size","temp,barrier,size",3,"additive",0.0694214889702161,314.04575018537,0.00286560103498586,7.68948103645369
"21","pCol ~ temp * prosper","temp,prosper",2,"full_interactions",0.0694739813777174,313.608994703572,0.00291809344248714,7.25272555465602
"44","pCol ~ temp + barrier + length","temp,barrier,length",3,"additive",0.0695326472622373,314.509668062269,0.00297675932700704,8.15339891335333
"54","pCol ~ temp + length + prosper","temp,length,prosper",3,"additive",0.069567215227101,314.864783741393,0.00301132729187072,8.50851459247673
"96","pCol ~ temp + length + size + prosper","temp,length,size,prosper",4,"additive",0.0696386043933503,316.164506326295,0.00308271645812003,9.80823717737917
"84","pCol ~ temp + barrier + length + size","temp,barrier,length,size",4,"additive",0.0696956966712605,316.012349700119,0.00313980873603029,9.65608055120356
"15","pCol ~ temp * barrier","temp,barrier",2,"full_interactions",0.0697248740918561,314.790043595946,0.00316898615662582,8.4337744470306
"48","pCol ~ temp + barrier + prosper","temp,barrier,prosper",3,"additive",0.0697849889414479,314.662378105445,0.00322910100621766,8.30610895652944
"90","pCol ~ temp + barrier + size + prosper","temp,barrier,size,prosper",4,"additive",0.0698453568354806,316.062778928658,0.00328946890025031,9.70650977974225
