"","formula","predictors","n_predictors","model_type","loocv_score","AIC","delta_loocv","delta_AIC"
"132","pNat ~ temp + barrier + length + crop","temp,barrier,length,crop",4,"additive",0.0852479723267745,350.989436591053,0,0.497880200192981
"72","pNat ~ temp + length + crop","temp,length,crop",3,"additive",0.0853858058533438,350.49155639086,0.000137833526569361,0
"205","pNat ~ temp * barrier * length * prosper * crop","temp,barrier,length,prosper,crop",5,"full_interactions",0.0853865419565005,372.073595645919,0.000138569629726068,21.5820392550592
"150","pNat ~ temp + length + size + crop","temp,length,size,crop",4,"additive",0.0857353140963464,352.000467104686,0.000487341769571978,1.50891071382631
"200","pNat ~ temp + barrier + length + size + crop","temp,barrier,length,size,crop",5,"additive",0.0857427974903734,352.875248619542,0.000494825163598958,2.38369222868204
"204","pNat ~ temp + barrier + length + prosper + crop","temp,barrier,length,prosper,crop",5,"additive",0.0857680821757472,352.887458430141,0.000520109848972758,2.39590203928122
"208","pNat ~ temp + barrier + length + crop + pisc","temp,barrier,length,crop,pisc",5,"additive",0.0857726470228645,353.392359257272,0.000524674696089994,2.90080286641205
"154","pNat ~ temp + length + prosper + crop","temp,length,prosper,crop",4,"additive",0.0858133088957703,352.125490364432,0.000565336568995864,1.6339339735722
"158","pNat ~ temp + length + crop + pisc","temp,length,crop,pisc",4,"additive",0.0858466389835467,352.914686635113,0.000598666656772232,2.42313024425374
"218","pNat ~ temp + length + size + prosper + crop","temp,length,size,prosper,crop",5,"additive",0.0861797472699045,353.759800847684,0.000931774943130043,3.26824445682473
"222","pNat ~ temp + length + size + crop + pisc","temp,length,size,crop,pisc",5,"additive",0.0862406615579261,354.451673538429,0.000992689231151603,3.96011714756958
"240","pNat ~ temp + barrier + length + size + prosper + crop","temp,barrier,length,size,prosper,crop",6,"additive",0.0862511087268823,354.801696037051,0.00100313640010787,4.31013964619177
"83","pNat ~ temp * prosper * crop","temp,prosper,crop",3,"full_interactions",0.0862537255655147,351.474650295461,0.00100575323874019,0.98309390460156
"244","pNat ~ temp + barrier + length + size + crop + pisc","temp,barrier,length,size,crop,pisc",6,"additive",0.0862679244557359,355.309416585343,0.0010199521289614,4.81786019448299
"224","pNat ~ temp + length + prosper + crop + pisc","temp,length,prosper,crop,pisc",5,"additive",0.0862989866271558,354.603385080144,0.00105101430038131,4.11182868928393
"246","pNat ~ temp + barrier + length + prosper + crop + pisc","temp,barrier,length,prosper,crop,pisc",6,"additive",0.0863024984661826,355.332744460977,0.00105452613940812,4.84118807011697
"250","pNat ~ temp + length + size + prosper + crop + pisc","temp,length,size,prosper,crop,pisc",6,"additive",0.0867011635706479,356.24073319053,0.00145319124387346,5.74917679967012
"254","pNat ~ temp + barrier + length + size + prosper + crop + pisc","temp,barrier,length,size,prosper,crop,pisc",7,"additive",0.0867862586413199,357.265950516218,0.0015382863145454,6.77439412535824
