"","formula","predictors","n_predictors","model_type","loocv_score","AIC","delta_loocv","delta_AIC"
"23","Turnover ~ temp * crop","temp,crop",2,"full_interactions",0.0476661845234963,334.833116802936,0,0
"63","Turnover ~ temp * prosper * crop","temp,prosper,crop",3,"full_interactions",0.0482220504314373,341.290715790283,0.000555865907940975,6.45759898734656
"57","Turnover ~ temp * length * crop","temp,length,crop",3,"full_interactions",0.0482533918396563,342.406160154561,0.000587207316160021,7.57304335162496
"51","Turnover ~ temp * barrier * crop","temp,barrier,crop",3,"full_interactions",0.0485037812783231,342.363174191189,0.000837596754826864,7.53005738825306
"61","Turnover ~ temp * size * crop","temp,size,crop",3,"full_interactions",0.0488198269494564,342.108890736859,0.00115364242596008,7.2757739339234
"22","Turnover ~ temp + crop","temp,crop",2,"additive",0.0493473780209706,341.96268855494,0.00168119349747436,7.12957175200353
"103","Turnover ~ temp * size * prosper * crop","temp,size,prosper,crop",4,"full_interactions",0.049501752973738,354.596087429156,0.00183556845024167,19.7629706262201
"93","Turnover ~ temp * barrier * size * crop","temp,barrier,size,crop",4,"full_interactions",0.0495467977186528,356.434786872395,0.00188061319515651,21.6016700694593
"62","Turnover ~ temp + prosper + crop","temp,prosper,crop",3,"additive",0.049551220555525,343.788799847813,0.00188503603202871,8.95568304487688
"56","Turnover ~ temp + length + crop","temp,length,crop",3,"additive",0.049563161211791,343.762233871797,0.00189697668829468,8.92911706886099
"60","Turnover ~ temp + size + crop","temp,size,crop",3,"additive",0.0495847643873549,343.701447163863,0.00191857986385861,8.86833036092702
"50","Turnover ~ temp + barrier + crop","temp,barrier,crop",3,"additive",0.0496852699105074,344.028104906343,0.00201908538701116,9.1949881034073
"100","Turnover ~ temp + length + prosper + crop","temp,length,prosper,crop",4,"additive",0.0497501216826141,345.494927238929,0.00208393715911786,10.6618104359928
"102","Turnover ~ temp + size + prosper + crop","temp,size,prosper,crop",4,"additive",0.0497742208464244,345.367455521407,0.00210803632292808,10.5343387184711
"98","Turnover ~ temp + length + size + crop","temp,length,size,crop",4,"additive",0.0497930433809949,345.576908463707,0.00212685885749863,10.7437916607707
"94","Turnover ~ temp + barrier + prosper + crop","temp,barrier,prosper,crop",4,"additive",0.0499130455598156,345.851198556342,0.00224686103631935,11.0180817534063
"88","Turnover ~ temp + barrier + length + crop","temp,barrier,length,crop",4,"additive",0.0499135906111328,345.898559582086,0.00224740608763655,11.0654427791501
"92","Turnover ~ temp + barrier + size + crop","temp,barrier,size,crop",4,"additive",0.0499424482448078,345.632389146911,0.00227626372131151,10.7992723439746
"122","Turnover ~ temp + length + size + prosper + crop","temp,length,size,prosper,crop",5,"additive",0.0499711854890332,347.183526992211,0.00230500096553696,12.3504101892752
"118","Turnover ~ temp + barrier + length + prosper + crop","temp,barrier,length,prosper,crop",5,"additive",0.0501272060239869,347.61329704893,0.00246102150049057,12.7801802459945
"120","Turnover ~ temp + barrier + size + prosper + crop","temp,barrier,size,prosper,crop",5,"additive",0.0501520843564663,347.323237095144,0.00248589983297002,12.4901202922083
"116","Turnover ~ temp + barrier + length + size + crop","temp,barrier,length,size,crop",5,"additive",0.0501689081393676,347.601171375245,0.0025027236158713,12.7680545723086
"126","Turnover ~ temp + barrier + length + size + prosper + crop","temp,barrier,length,size,prosper,crop",6,"additive",0.0503698741575746,349.224696913832,0.00270368963407829,14.3915801108957
"101","Turnover ~ temp * length * prosper * crop","temp,length,prosper,crop",4,"full_interactions",0.0506326636938186,356.036395384625,0.00296647917032228,21.2032785816886
"89","Turnover ~ temp * barrier * length * crop","temp,barrier,length,crop",4,"full_interactions",0.0509862481395919,353.611502412628,0.00332006361609562,18.778385609692
"95","Turnover ~ temp * barrier * prosper * crop","temp,barrier,prosper,crop",4,"full_interactions",0.0515794619694706,354.848537891425,0.00391327744597429,20.0154210884886
"99","Turnover ~ temp * length * size * crop","temp,length,size,crop",4,"full_interactions",0.0520997518714716,357.293706544286,0.00443356734797534,22.4605897413496
"21","Turnover ~ temp * prosper","temp,prosper",2,"full_interactions",0.0534001747540247,353.067462952743,0.0057339902305284,18.2343461498069
"123","Turnover ~ temp * length * size * prosper * crop","temp,length,size,prosper,crop",5,"full_interactions",0.0536461856887663,380.209114070129,0.00598000116527007,45.3759972671927
"2","Turnover ~ temp","temp",1,"additive",0.0542752524266675,354.378829248854,0.00660906790317119,19.5457124459178
"3","Turnover ~ temp","temp",1,"full_interactions",0.0542752524266675,354.378829248854,0.00660906790317119,19.5457124459178
"16","Turnover ~ temp + length","temp,length",2,"additive",0.0544972063972097,356.786740387911,0.00683102187371346,21.9536235849752
"18","Turnover ~ temp + size","temp,size",2,"additive",0.0545247315169349,356.049137766061,0.00685854699343865,21.2160209631245
