"","Species","sites"
"1","BHSU",14
"2","BLBH",16
"3","BMBUF",4
"4","BMSH",28
"5","BRMN",58
"6","BRSB",28
"7","BSU",5
"8","CCAT",72
"9","CMSH",31
"10","CRCH",121
"11","DRUM",9
"12","EMSH",24
"13","FHCH",98
"14","FHMN",194
"15","FMSU",44
"16","FSDC",1
"17","GE",45
"18","GILA",14
"19","GR",1
"20","HHCH",12
"21","HYBOG",6
"22","IOWA",26
"23","JDT",32
"24","LING",13
"25","LKCH",55
"26","LNDC",233
"27","LNSU",122
"28","LSCH",3
"29","MOTCOT",52
"30","MTSU",61
"31","MWF",41
"32","NPDC",5
"33","NRBDC",21
"34","ODT",6
"35","PF",1
"36","PKF",13
"37","PLMN",57
"38","PLSU",77
"39","PSTRG",3
"40","PTMN",10
"41","QBK",3
"42","RCSU",74
"43","RDSH",14
"44","RMCT",22
"45","RTCH",27
"46","SCAT",89
"47","SDSH",122
"48","SFCH",3
"49","SGR",27
"50","SHRH",88
"51","SMBUF",12
"52","SMMN",6
"53","SPDC",74
"54","SSTRG",10
"55","STCH",16
"56","STR",33
"57","WCT",3
"58","WSMN",28
"59","WSU",272
"60","WS_PLMN",7
