RepeatID,mode_code,mode_name
462,71,Grassland/Herbacous
461,22,"Developed, Low Intensity"
460,71,Grassland/Herbacous
457,22,"Developed, Low Intensity"
455,22,"Developed, Low Intensity"
454,22,"Developed, Low Intensity"
453,22,"Developed, Low Intensity"
452,71,Grassland/Herbacous
451,23,"Developed, Medium Intensity"
450,71,Grassland/Herbacous
449,71,Grassland/Herbacous
448,71,Grassland/Herbacous
447,82,Cultivated Crops
446,71,Grassland/Herbacous
445,82,Cultivated Crops
444,71,Grassland/Herbacous
443,71,Grassland/Herbacous
442,71,Grassland/Herbacous
441,71,Grassland/Herbacous
440,71,Grassland/Herbacous
439,52,Shrub/Scrub
438,52,Shrub/Scrub
436,71,Grassland/Herbacous
435,71,Grassland/Herbacous
434,71,Grassland/Herbacous
433,71,Grassland/Herbacous
432,52,Shrub/Scrub
431,52,Shrub/Scrub
430,52,Shrub/Scrub
429,52,Shrub/Scrub
428,71,Grassland/Herbacous
427,52,Shrub/Scrub
426,52,Shrub/Scrub
425,71,Grassland/Herbacous
424,71,Grassland/Herbacous
423,52,Shrub/Scrub
422,71,Grassland/Herbacous
421,71,Grassland/Herbacous
420,71,Grassland/Herbacous
419,71,Grassland/Herbacous
418,82,Cultivated Crops
417,71,Grassland/Herbacous
416,71,Grassland/Herbacous
415,71,Grassland/Herbacous
414,71,Grassland/Herbacous
413,71,Grassland/Herbacous
412,71,Grassland/Herbacous
411,71,Grassland/Herbacous
410,82,Cultivated Crops
409,71,Grassland/Herbacous
408,71,Grassland/Herbacous
407,82,Cultivated Crops
406,82,Cultivated Crops
405,71,Grassland/Herbacous
404,71,Grassland/Herbacous
403,71,Grassland/Herbacous
402,71,Grassland/Herbacous
401,52,Shrub/Scrub
400,71,Grassland/Herbacous
399,71,Grassland/Herbacous
398,22,"Developed, Low Intensity"
397,52,Shrub/Scrub
396,71,Grassland/Herbacous
395,82,Cultivated Crops
393,82,Cultivated Crops
392,52,Shrub/Scrub
391,71,Grassland/Herbacous
390,52,Shrub/Scrub
389,52,Shrub/Scrub
388,52,Shrub/Scrub
387,52,Shrub/Scrub
386,52,Shrub/Scrub
385,71,Grassland/Herbacous
384,52,Shrub/Scrub
383,52,Shrub/Scrub
382,52,Shrub/Scrub
381,71,Grassland/Herbacous
380,52,Shrub/Scrub
379,52,Shrub/Scrub
378,71,Grassland/Herbacous
377,52,Shrub/Scrub
376,52,Shrub/Scrub
375,71,Grassland/Herbacous
374,52,Shrub/Scrub
373,52,Shrub/Scrub
372,71,Grassland/Herbacous
371,52,Shrub/Scrub
370,52,Shrub/Scrub
369,71,Grassland/Herbacous
368,52,Shrub/Scrub
367,52,Shrub/Scrub
366,52,Shrub/Scrub
365,71,Grassland/Herbacous
364,52,Shrub/Scrub
363,71,Grassland/Herbacous
362,71,Grassland/Herbacous
361,52,Shrub/Scrub
360,52,Shrub/Scrub
359,82,Cultivated Crops
358,71,Grassland/Herbacous
357,71,Grassland/Herbacous
356,82,Cultivated Crops
355,52,Shrub/Scrub
354,71,Grassland/Herbacous
353,82,Cultivated Crops
352,52,Shrub/Scrub
351,52,Shrub/Scrub
350,71,Grassland/Herbacous
349,71,Grassland/Herbacous
348,82,Cultivated Crops
347,82,Cultivated Crops
346,71,Grassland/Herbacous
345,71,Grassland/Herbacous
344,71,Grassland/Herbacous
343,52,Shrub/Scrub
342,52,Shrub/Scrub
341,52,Shrub/Scrub
340,52,Shrub/Scrub
339,71,Grassland/Herbacous
338,71,Grassland/Herbacous
337,52,Shrub/Scrub
336,71,Grassland/Herbacous
335,71,Grassland/Herbacous
334,52,Shrub/Scrub
333,52,Shrub/Scrub
332,52,Shrub/Scrub
331,71,Grassland/Herbacous
330,71,Grassland/Herbacous
329,71,Grassland/Herbacous
328,52,Shrub/Scrub
327,71,Grassland/Herbacous
325,52,Shrub/Scrub
324,52,Shrub/Scrub
323,52,Shrub/Scrub
322,52,Shrub/Scrub
321,71,Grassland/Herbacous
320,42,Evergreen Forest
319,42,Evergreen Forest
318,42,Evergreen Forest
317,42,Evergreen Forest
316,42,Evergreen Forest
315,42,Evergreen Forest
313,22,"Developed, Low Intensity"
312,22,"Developed, Low Intensity"
311,22,"Developed, Low Intensity"
310,22,"Developed, Low Intensity"
309,42,Evergreen Forest
308,42,Evergreen Forest
307,42,Evergreen Forest
306,42,Evergreen Forest
305,42,Evergreen Forest
304,42,Evergreen Forest
303,42,Evergreen Forest
302,42,Evergreen Forest
301,71,Grassland/Herbacous
300,82,Cultivated Crops
299,82,Cultivated Crops
298,42,Evergreen Forest
297,71,Grassland/Herbacous
296,71,Grassland/Herbacous
295,42,Evergreen Forest
294,42,Evergreen Forest
293,42,Evergreen Forest
292,42,Evergreen Forest
291,71,Grassland/Herbacous
290,42,Evergreen Forest
289,42,Evergreen Forest
288,42,Evergreen Forest
287,71,Grassland/Herbacous
286,71,Grassland/Herbacous
285,42,Evergreen Forest
284,52,Shrub/Scrub
283,82,Cultivated Crops
282,42,Evergreen Forest
281,52,Shrub/Scrub
280,52,Shrub/Scrub
279,52,Shrub/Scrub
278,42,Evergreen Forest
277,82,Cultivated Crops
276,52,Shrub/Scrub
275,52,Shrub/Scrub
274,71,Grassland/Herbacous
273,71,Grassland/Herbacous
272,71,Grassland/Herbacous
271,52,Shrub/Scrub
270,52,Shrub/Scrub
269,52,Shrub/Scrub
268,52,Shrub/Scrub
267,52,Shrub/Scrub
266,71,Grassland/Herbacous
265,52,Shrub/Scrub
264,52,Shrub/Scrub
263,52,Shrub/Scrub
262,52,Shrub/Scrub
261,71,Grassland/Herbacous
260,71,Grassland/Herbacous
259,71,Grassland/Herbacous
258,52,Shrub/Scrub
257,52,Shrub/Scrub
256,42,Evergreen Forest
255,82,Cultivated Crops
254,52,Shrub/Scrub
253,52,Shrub/Scrub
252,52,Shrub/Scrub
251,82,Cultivated Crops
250,52,Shrub/Scrub
249,71,Grassland/Herbacous
248,52,Shrub/Scrub
247,52,Shrub/Scrub
246,52,Shrub/Scrub
245,71,Grassland/Herbacous
244,52,Shrub/Scrub
243,71,Grassland/Herbacous
242,71,Grassland/Herbacous
241,52,Shrub/Scrub
240,52,Shrub/Scrub
239,52,Shrub/Scrub
238,42,Evergreen Forest
237,52,Shrub/Scrub
236,52,Shrub/Scrub
235,52,Shrub/Scrub
234,42,Evergreen Forest
233,71,Grassland/Herbacous
232,71,Grassland/Herbacous
231,71,Grassland/Herbacous
230,52,Shrub/Scrub
229,52,Shrub/Scrub
228,22,"Developed, Low Intensity"
226,52,Shrub/Scrub
225,52,Shrub/Scrub
224,52,Shrub/Scrub
223,52,Shrub/Scrub
222,52,Shrub/Scrub
221,71,Grassland/Herbacous
220,52,Shrub/Scrub
219,82,Cultivated Crops
218,82,Cultivated Crops
217,82,Cultivated Crops
216,52,Shrub/Scrub
215,52,Shrub/Scrub
214,71,Grassland/Herbacous
213,82,Cultivated Crops
212,52,Shrub/Scrub
211,52,Shrub/Scrub
210,52,Shrub/Scrub
209,71,Grassland/Herbacous
208,71,Grassland/Herbacous
207,82,Cultivated Crops
206,71,Grassland/Herbacous
205,52,Shrub/Scrub
204,71,Grassland/Herbacous
201,52,Shrub/Scrub
200,52,Shrub/Scrub
199,52,Shrub/Scrub
198,82,Cultivated Crops
197,52,Shrub/Scrub
195,71,Grassland/Herbacous
194,52,Shrub/Scrub
193,71,Grassland/Herbacous
192,71,Grassland/Herbacous
191,71,Grassland/Herbacous
189,71,Grassland/Herbacous
188,71,Grassland/Herbacous
187,71,Grassland/Herbacous
186,52,Shrub/Scrub
185,71,Grassland/Herbacous
184,71,Grassland/Herbacous
183,52,Shrub/Scrub
182,52,Shrub/Scrub
180,71,Grassland/Herbacous
179,71,Grassland/Herbacous
178,52,Shrub/Scrub
177,42,Evergreen Forest
176,42,Evergreen Forest
175,95,Emergent Herbaceous Wetlands
174,71,Grassland/Herbacous
173,71,Grassland/Herbacous
172,71,Grassland/Herbacous
171,71,Grassland/Herbacous
170,52,Shrub/Scrub
169,52,Shrub/Scrub
168,52,Shrub/Scrub
167,71,Grassland/Herbacous
166,52,Shrub/Scrub
165,71,Grassland/Herbacous
164,71,Grassland/Herbacous
163,71,Grassland/Herbacous
162,71,Grassland/Herbacous
161,71,Grassland/Herbacous
160,71,Grassland/Herbacous
159,52,Shrub/Scrub
158,52,Shrub/Scrub
157,52,Shrub/Scrub
156,71,Grassland/Herbacous
155,71,Grassland/Herbacous
154,52,Shrub/Scrub
153,52,Shrub/Scrub
150,52,Shrub/Scrub
147,52,Shrub/Scrub
146,52,Shrub/Scrub
145,52,Shrub/Scrub
144,52,Shrub/Scrub
143,52,Shrub/Scrub
142,52,Shrub/Scrub
140,52,Shrub/Scrub
139,52,Shrub/Scrub
138,71,Grassland/Herbacous
137,71,Grassland/Herbacous
136,71,Grassland/Herbacous
135,71,Grassland/Herbacous
134,71,Grassland/Herbacous
133,71,Grassland/Herbacous
132,71,Grassland/Herbacous
131,71,Grassland/Herbacous
130,71,Grassland/Herbacous
129,82,Cultivated Crops
128,52,Shrub/Scrub
127,71,Grassland/Herbacous
126,71,Grassland/Herbacous
125,71,Grassland/Herbacous
124,52,Shrub/Scrub
123,52,Shrub/Scrub
122,52,Shrub/Scrub
121,52,Shrub/Scrub
120,52,Shrub/Scrub
119,52,Shrub/Scrub
118,52,Shrub/Scrub
117,52,Shrub/Scrub
116,52,Shrub/Scrub
115,52,Shrub/Scrub
114,52,Shrub/Scrub
113,52,Shrub/Scrub
112,52,Shrub/Scrub
111,52,Shrub/Scrub
110,52,Shrub/Scrub
109,71,Grassland/Herbacous
108,52,Shrub/Scrub
