"rid","fromnode","tonode"
1,1,2
2,2,3
3,4,2
4,5,6
5,7,5
6,8,9
7,9,10
8,11,12
9,10,11
10,13,7
11,12,13
12,14,15
13,15,16
14,16,8
15,17,14
16,18,17
17,19,18
18,20,19
19,21,22
20,23,24
21,24,21
22,25,26
23,27,28
24,28,25
25,29,30
26,26,29
27,31,27
28,32,33
29,33,23
30,30,32
31,34,35
32,36,37
33,38,34
34,39,38
35,40,39
36,37,40
37,41,31
38,42,43
39,44,45
40,35,44
41,43,36
42,45,41
43,46,42
44,47,48
45,49,47
46,48,50
47,51,49
48,52,51
49,53,54
50,55,56
51,57,55
52,58,51
53,54,58
54,56,53
55,59,60
56,60,61
57,62,63
58,63,59
59,61,57
60,64,62
61,65,64
62,66,67
63,68,69
64,70,68
65,69,71
66,72,73
67,74,72
68,75,76
69,77,75
70,76,78
71,79,77
72,80,79
73,81,80
74,82,81
75,83,82
76,84,83
77,85,86
78,86,84
79,87,85
80,88,89
81,89,87
82,90,88
83,91,90
84,92,91
85,93,92
86,94,93
87,95,94
88,96,95
89,97,96
90,98,99
91,100,101
92,99,102
93,103,98
94,104,105
95,101,104
96,102,100
97,106,103
98,107,108
99,109,103
100,108,109
101,110,111
102,112,110
103,113,112
104,114,113
105,115,114
106,116,115
107,117,118
108,119,117
109,120,116
110,118,120
111,121,119
112,122,121
113,123,124
114,124,122
115,125,123
116,126,125
117,127,126
118,128,127
119,129,128
120,130,129
121,131,130
122,132,31
123,133,134
124,134,132
125,135,133
126,136,135
127,137,136
128,138,137
129,139,138
130,140,139
131,141,140
132,142,143
133,143,141
134,144,145
135,146,113
136,147,148
137,71,66
138,148,149
139,150,151
140,151,152
141,153,150
142,152,154
143,78,153
144,22,155
145,156,157
146,158,156
147,67,159
148,160,145
149,161,160
150,73,161
151,154,162
152,163,164
153,164,165
154,105,166
155,166,163
156,167,168
157,157,147
158,111,169
159,169,170
160,155,20
161,171,172
162,173,174
163,175,176
164,177,175
165,178,65
166,174,178
167,176,173
168,172,177
169,179,180
170,181,171
171,180,181
172,149,179
173,159,158
174,145,70
175,162,74
176,165,78
177,168,107
178,170,182
179,182,167
180,50,183
181,183,184
182,185,46
183,184,185
184,186,187
185,188,186
186,6,188
187,187,189
188,189,190
189,191,192
190,193,191
191,194,193
192,195,194
193,196,195
194,197,196
195,198,199
196,199,200
197,200,201
198,202,203
199,204,205
200,205,206
201,206,207
202,192,208
203,208,209
204,209,210
205,210,211
206,211,212
207,212,213
208,213,202
209,207,198
210,214,197
211,215,216
212,217,218
213,218,219
214,219,215
215,220,221
216,221,222
217,222,217
218,223,224
219,224,225
220,225,226
221,226,227
222,228,229
223,230,231
224,229,230
225,231,232
226,232,233
227,233,234
228,190,235
229,235,236
230,237,238
231,236,228
232,234,239
233,239,240
234,240,241
235,241,223
236,227,242
237,242,243
238,243,244
239,244,220
240,238,214
241,216,245
242,245,237
243,246,247
244,248,246
245,249,248
246,250,251
247,251,252
248,253,254
249,255,256
250,254,249
251,256,253
252,257,255
253,252,257
254,258,259
255,259,250
256,260,258
257,261,260
258,262,261
259,263,262
260,264,265
261,266,264
262,267,266
263,268,269
264,270,267
265,269,270
266,271,268
267,272,271
268,273,272
269,274,273
270,275,274
271,276,275
272,277,276
273,278,277
274,279,278
275,280,279
276,281,280
277,282,283
278,284,282
279,283,281
280,285,286
281,286,284
282,287,288
283,289,285
284,290,287
285,291,292
286,288,289
287,292,293
288,293,290
289,294,295
290,295,291
291,296,294
292,297,296
293,298,299
294,299,297
295,300,298
296,301,300
297,302,301
298,303,302
299,304,303
300,305,304
301,306,305
302,307,306
303,308,307
304,309,308
305,310,309
306,311,310
307,312,311
308,313,312
309,314,313
310,315,314
311,316,315
312,317,263
313,318,317
314,319,318
315,265,319
316,320,221
317,321,320
318,322,321
319,323,322
320,324,323
321,325,324
322,326,325
323,247,327
324,327,328
325,328,326
326,329,330
327,331,329
328,332,331
329,333,332
330,334,333
331,335,334
332,336,335
333,337,336
334,338,337
335,339,338
336,340,339
337,341,340
338,342,341
339,343,342
340,344,343
341,345,344
342,346,345
343,347,344
344,330,302
345,348,349
346,350,351
347,351,352
348,349,350
349,353,354
350,355,353
351,356,355
352,357,358
353,359,357
354,360,359
355,361,360
356,362,361
357,363,362
358,364,363
359,365,364
360,366,365
361,367,366
362,368,367
363,369,368
364,370,369
365,371,370
366,372,371
367,373,372
368,374,373
369,375,374
370,376,375
371,377,376
372,378,377
373,379,378
374,380,381
375,381,379
376,382,380
377,383,384
378,385,383
379,386,385
380,387,386
381,388,387
382,389,388
383,390,391
384,392,389
385,393,392
386,391,393
387,394,395
388,396,394
389,397,396
390,398,397
391,399,398
392,400,399
393,401,402
394,402,400
395,403,401
396,404,403
397,405,404
398,406,405
399,407,406
400,408,407
401,409,408
402,410,409
403,411,412
404,412,410
405,413,411
406,414,415
407,415,413
408,416,417
409,418,416
410,419,418
411,420,419
412,421,420
413,422,421
414,423,422
415,424,423
416,425,424
417,426,425
418,427,426
419,428,427
420,429,428
421,430,431
422,431,429
423,432,430
424,433,432
425,434,433
426,435,434
427,436,435
428,437,436
429,438,437
430,439,438
431,440,439
432,441,440
433,442,443
434,358,444
435,444,445
436,445,446
437,446,447
438,448,348
439,354,449
440,450,448
441,449,450
442,451,452
443,452,453
444,447,451
445,384,442
446,454,386
447,395,454
448,453,455
449,455,456
450,456,457
451,457,458
452,459,460
453,461,462
454,463,461
455,460,463
456,458,459
457,464,465
458,466,464
459,467,468
460,469,466
461,468,469
462,470,467
463,471,472
464,473,471
465,474,475
466,475,473
467,476,473
468,477,478
469,479,480
470,480,477
471,481,482
472,482,483
473,484,485
474,486,487
475,487,488
476,488,481
477,483,484
478,489,490
479,491,489
480,490,492
481,493,494
482,495,496
483,497,498
484,499,500
485,501,502
486,503,501
487,500,504
488,505,506
489,507,495
490,498,505
491,504,503
492,494,497
493,508,493
494,496,499
495,509,507
496,502,508
497,510,509
498,511,510
499,512,511
500,513,514
501,514,515
502,515,516
503,516,512
504,517,513
505,518,517
506,519,520
507,521,522
508,523,521
509,524,525
510,520,523
511,525,526
512,526,519
513,527,524
514,528,529
515,530,531
516,531,528
517,532,533
518,534,535
519,536,537
520,538,539
521,533,540
522,539,541
523,542,534
524,537,543
525,540,544
526,535,545
527,544,538
528,545,532
529,543,542
530,546,547
531,548,546
532,549,550
533,551,552
534,552,549
535,553,551
536,554,553
537,555,556
538,556,554
539,557,558
540,559,560
541,561,559
542,562,563
543,564,492
544,565,566
545,566,479
546,567,565
547,568,567
548,569,568
549,570,571
550,572,569
551,571,572
552,573,570
553,574,573
554,575,574
555,576,575
556,577,576
557,578,577
558,579,578
559,580,579
560,581,580
561,582,581
562,583,584
563,585,586
564,584,587
565,586,583
566,587,472
567,588,589
568,590,588
569,589,585
570,591,590
571,592,593
572,593,594
573,594,591
574,595,592
575,596,595
576,597,596
577,598,597
578,599,598
579,600,599
580,601,600
581,602,601
582,603,602
583,604,603
584,605,604
585,606,605
586,607,546
587,608,524
588,609,610
589,611,609
590,612,613
591,613,611
592,614,547
593,610,615
594,616,530
595,615,616
596,550,617
597,618,536
598,472,619
599,201,561
600,620,621
601,621,622
602,478,620
603,492,486
604,560,623
605,624,625
606,623,624
607,522,626
608,627,491
609,628,627
610,629,628
611,630,479
612,631,632
613,632,633
614,529,631
615,634,527
616,635,467
617,636,637
618,637,638
619,639,636
620,640,639
621,641,642
622,642,643
623,644,645
624,646,644
625,647,648
626,619,647
627,648,635
628,649,650
629,651,652
630,652,653
631,485,649
632,653,630
633,650,651
634,506,654
635,654,655
636,656,629
637,655,656
638,657,658
639,659,518
640,660,661
641,626,662
642,663,657
643,664,663
644,662,660
645,661,664
646,658,665
647,665,666
648,666,667
649,667,659
650,633,668
651,668,669
652,669,634
653,541,670
654,670,612
655,671,672
656,547,671
657,673,618
658,672,673
659,674,548
660,675,676
661,677,678
662,676,677
663,679,680
664,638,681
665,681,679
666,680,675
667,678,674
668,682,683
669,684,682
670,683,640
671,685,686
672,643,685
673,686,684
674,645,555
675,617,563
676,563,641
677,687,688
678,689,687
679,690,646
680,688,690
681,691,689
682,558,691
683,692,476
684,693,692
685,622,694
686,694,693
687,695,557
688,696,695
689,697,698
690,699,697
691,700,699
692,701,700
693,702,701
694,703,702
695,704,703
696,625,704
697,698,696
698,705,706
699,707,705
700,706,708
701,709,710
702,710,707
703,711,712
704,713,711
705,714,715
706,716,714
707,717,718
708,718,719
709,719,716
710,720,717
711,721,722
712,723,721
713,724,720
714,722,724
715,725,726
716,727,725
717,728,729
718,729,730
719,730,727
720,731,728
721,732,733
722,733,734
723,734,731
724,735,736
725,737,735
726,738,737
727,739,740
728,741,739
729,742,743
730,744,742
731,743,741
732,745,746
733,746,747
734,748,745
735,749,750
736,751,752
737,752,753
738,753,754
739,755,748
740,754,755
741,756,749
742,757,751
743,750,757
744,758,759
745,759,756
746,760,758
747,761,760
748,762,763
749,763,764
750,765,762
751,766,765
752,767,768
753,769,767
754,770,771
755,771,772
756,773,774
757,774,770
758,775,776
759,776,773
760,777,778
761,778,779
762,779,760
763,780,777
764,781,780
