"pointid","xcoord","ycoord"
1,-1051523.1831,2071411.9868
2,-1051981.6686,2070282.2172
3,-1052802.2293,2069314.4865
4,-1050402.8914,2068862.8361
5,-901519.3126,2151117.7446
6,-900092.2664,2152070.22329999
7,-901862.307199999,2151040.75300001
8,-907735.3095,2143977.7535
9,-907685.0325,2144912.5759
10,-909540.115000001,2148985.442
11,-908946.3156,2151054.7477
12,-908274.314700002,2150872.7538
13,-904450.192799999,2150402.35540001
14,-904802.314300003,2141324.75109999
15,-905452.307099999,2141783.54780001
16,-905495.314800001,2142801.7499
17,-903752.315700001,2140624.74499999
18,-901561.3096,2139343.74909999
19,-900917.315600001,2137663.75249999
20,-900882.310699999,2137446.7542
21,-901176.3148,2135752.7526
22,-901071.311100001,2135871.7448
23,-901638.309200002,2132714.7465
24,-901910.5766,2133515.5789
25,-899601.3102,2130215.7506
26,-899853.314500002,2130467.74839999
27,-898411.308899999,2129207.74420001
28,-898901.314799999,2129767.7478
29,-900371.311799999,2130803.7495
30,-901085.308800001,2131965.7477
31,-897823.3136,2128157.7506
32,-901127.312300002,2132007.7514
33,-901267.317000001,2132259.7537
34,-898663.309,2125161.7469
35,-899643.3152,2126883.7462
36,-901813.314900001,2121843.745
37,-902695.0678,2123608.9063
38,-898586.3164,2124860.7512
39,-898635.3124,2124783.7423
40,-898859.3092,2124559.75340001
41,-898061.3115,2127387.7511
42,-903689.3074,2120877.7515
43,-902877.3175,2120905.7462
44,-899405.313300001,2127205.7483
45,-898033.311899998,2127135.74990001
46,-903577.311100001,2119071.7461
47,-906139.314999999,2119239.7479
48,-905971.314899999,2119253.7552
49,-906727.316299999,2118763.742
50,-905946.000899999,2119273.24580001
51,-906013.3075,2118049.7472
52,-905999.040300001,2118030.08129999
53,-903878.8785,2116037.6244
54,-903864.421299999,2116094.0321
55,-904830.316,2115746.7454
56,-904238.700400001,2115843.6111
57,-905803.310300001,2115109.7509
58,-903841.597200002,2116156.2239
59,-904319.3139,2113303.7491
60,-904711.312,2113513.7481
61,-904809.311200001,2113625.74730001
62,-901491.310900001,2112575.7429
63,-904011.3132,2113499.75260001
64,-899171.4855,2111098.8314
65,-896787.306800001,2107703.7551
66,-891453.306600001,2097343.75110001
67,-891929.310499999,2097511.752
68,-889857.303900001,2094963.74849999
69,-889829.313599999,2095215.7505
70,-889024.3125,2094676.75
71,-890011.314300001,2095733.7511
72,-888653.309800001,2088677.74139999
73,-888401.3153,2090399.7479
74,-888611.3155,2088103.7461
75,-888576.690500001,2082969.7869
76,-888408.1615,2083906.8348
77,-890184.355299999,2079671.49320001
78,-888401.314300001,2084001.7519
79,-891208.242900001,2079157.578
80,-891607.250499999,2078426.6948
81,-892044.795600001,2078209.194
82,-892330.220899999,2077845.085
83,-892814.115299999,2077510.6842
84,-892967.737500001,2077365.9527
85,-894387.956099999,2074941.2822
86,-894374.141100001,2074973.2037
87,-894329.4359,2074700.00480001
88,-894747.2053,2072544.0981
89,-894787.7927,2073559.2303
90,-895123.201200001,2071899.08359999
91,-896197.662,2069877.9181
92,-896554.692,2069442.0574
93,-896559.2912,2064856.65690001
94,-896320.725800001,2063865.0916
95,-896287.8291,2063224.5561
96,-896525.404300001,2062746.6022
97,-896910.468900001,2062022.64439999
98,-883921.312400001,2077813.7462
99,-883921.3163,2077981.7464
100,-884257.311600001,2078177.75200001
101,-884424.0809,2078529.4069
102,-884103.313100001,2078219.7478
103,-883683.314500002,2077477.7452
104,-884579.311300001,2078877.7457
105,-884831.3076,2079885.7444
106,-883693.219499999,2077446.235
107,-882614.528199999,2077177.393
108,-882948.313400001,2077302.74639999
109,-883277.3124,2077421.741
110,-880953.3146,2077519.74679999
111,-881219.314099999,2077267.7507
112,-880827.3126,2078121.7488
113,-879217.310400001,2078667.74449999
114,-877327.3143,2076945.747
115,-877495.310199999,2074005.7493
116,-877173.312899999,2073039.7439
117,-876860.264799999,2072360.4965
118,-876893.309699999,2072395.7486
119,-875934.3124,2069364.7521
120,-876935.3082,2072563.7457
121,-875563.3079,2068965.7408
122,-874233.307399998,2066879.74790001
123,-874461.4274,2066596.9128
124,-874262.482599999,2066855.4836
125,-873765.4683,2062294.5503
126,-873760.562499999,2061886.77600001
127,-873628.715600001,2059900.26839999
128,-873161.357799999,2058277.3424
129,-873151.0782,2058139.6533
130,-873103.810799999,2057853.6293
131,-872786.4275,2056839.7657
132,-897782.8636,2128125.47600001
133,-895832.267400002,2128484.46859999
134,-897779.1964,2128128.4331
135,-894858.291499999,2128390.6292
136,-894318.301900001,2128076.12549998
137,-894200.037000001,2128420.62859999
138,-893933.428200001,2128333.3267
139,-893336.0852,2128738.7204
140,-892085.335500001,2129617.7489
141,-890957.509400001,2130111.5776
142,-889640.496500001,2130926.2763
143,-890388.778500001,2130113.1941
144,-888212.4767,2093067.5863
145,-888317.31,2093115.7515
146,-879213.297499999,2078698.198
147,-893861.304700001,2100549.75459999
148,-894302.3124,2103104.7504
149,-894253.3137,2103377.7448
150,-888737.311899998,2084701.7498
151,-888742.8194,2084723.779
152,-888821.310000001,2084855.7486
153,-888611.3168,2084533.7491
154,-888933.311700002,2085583.74939999
155,-901029.314099999,2136473.7454
156,-892811.317500001,2099135.74769999
157,-893630.3106,2100220.74539999
158,-892657.306900001,2098281.7473
159,-892433.3082,2097665.745
160,-888275.3088,2092807.7462
161,-888212.312600001,2092688.74949999
162,-888639.307499998,2087613.7538
163,-885699.308599999,2081131.74459999
164,-886931.321500001,2082391.7516
165,-887421.3132,2083399.74440001
166,-885083.3153,2080165.7414
167,-882318.315300002,2076924.7422
168,-882507.311799998,2077085.75530001
169,-881659.140100002,2077062.5993
170,-881704.5679,2077053.22830001
171,-894330.308300001,2105736.7522
172,-894432.8116,2105769.4993
173,-895555.308599998,2106905.7412
174,-895689.1789,2106960.7459
175,-895506.312700001,2106604.74679999
176,-895492.319000001,2106800.7465
177,-894743.301699999,2105964.2503
178,-896297.3169,2107647.7458
179,-894085.308300001,2103475.7455
180,-893971.6888,2104184.7441
181,-893987.312,2105113.74950001
182,-882031.315600002,2076931.7462
183,-904984.314400001,2119050.747
184,-904585.3118,2118889.74489999
185,-904116.310799999,2118336.7499
186,-899979.312000001,2152041.7442
187,-899266.757300001,2152092.65949999
188,-900077.0579,2152062.6217
189,-899196.274199999,2152158.4559
190,-897149.874500001,2152809.2501
191,-891023.683599999,2188422.0031
192,-891457.691600001,2188725.09850001
193,-890141.693000001,2187469.9942
194,-890043.6877,2186881.99280001
195,-889687.808299998,2183818.24570001
196,-889805.6853,2183256.00480001
197,-890984.1792,2181427.0194
198,-890211.6894,2210947.9965
199,-888405.687400001,2212067.9932
200,-887859.6832,2212641.9988
201,-884983.296100002,2213852.31469999
202,-893095.690300001,2195463.99559999
203,-893431.6895,2197060.003
204,-893427.0068,2197084.9748
205,-893389.685900001,2197283.9989
206,-892787.683800003,2199467.99799999
207,-888839.6908,2207028.0014
208,-891485.6914,2188799.9924
209,-891681.690099998,2189709.99690001
210,-891737.689700001,2190493.99609999
211,-891779.687200001,2191375.9918
212,-891639.688999999,2192915.9921
213,-892115.6831,2193685.9979
214,-890987.1832,2181423.4998
215,-889581.689900001,2174855.9916
216,-891527.692700001,2176969.9976
217,-891331.690199999,2170781.9945
218,-889231.6825,2173400.00130001
219,-889175.6895,2173623.9975
220,-890939.688699999,2163361.9987
221,-889875.683200001,2168149.9946
222,-890449.690800001,2170011.9931
223,-890234.302400001,2157006.8627
224,-890191.6978,2157057.98959999
225,-890127.687000002,2157187.9915
226,-891247.684699999,2159413.9979
227,-890589.682399998,2159568.29060001
228,-893501.691500001,2154065.99459999
229,-892322.3129,2154356.6274
230,-892272.814200001,2154307.1202
231,-891219.6884,2154388.0017
232,-890917.0695,2154652.81179999
233,-890880.189600001,2154688.37939999
234,-890650.873400001,2155755.387
235,-895313.248600001,2152815.74979999
236,-895181.688500001,2153295.99159999
237,-893452.0109,2179771.5613
238,-893361.691299999,2180133.9973
239,-890600.496999999,2155800.1655
240,-890290.3233,2156673.74650001
241,-890288.2872,2156738.8287
242,-890589.6848,2159622.60790001
243,-889693.685,2161697.9378
244,-889637.6841,2162004.0009
245,-891527.688300002,2177025.99529999
246,-876650.3151,2160215.3464
247,-877292.41,2160696.8984
248,-876202.8246,2159808.8732
249,-875556.8227,2160091.8582
250,-872530.8782,2159731.7964
251,-872507.541,2159747.5012
252,-873624.8597,2159873.6843
253,-875289.233300001,2160061.63769999
254,-875495.404600001,2160084.91399999
255,-874848.705000001,2160011.89769999
256,-874902.6044,2160017.9749
257,-874730.282,2159998.5181
258,-871437.609200001,2160052.68449999
259,-872251.229599999,2159718.6308
260,-871272.291300001,2159987.7814
261,-870953.651799999,2159841.2914
262,-870804.1931,2159680.33
263,-870913.089000001,2159592.14499999
264,-868843.9275,2159640.3997
265,-869385.4508,2160198.1329
266,-868876.813599999,2159342.03490001
267,-868396.1659,2159208.64469999
268,-865759.9284,2159615.7661
269,-868230.629399999,2159269.9342
270,-868287.037300001,2159276.2303
271,-865635.907800001,2159725.4112
272,-864574.442899999,2159593.261
273,-864481.454700001,2159765.60799999
274,-862599.524599999,2159592.6832
275,-861242.401499999,2159958.7821
276,-858668.420499999,2160822.4
277,-858519.633600001,2161022.325
278,-857996.894700001,2160604.7499
279,-856536.5442,2159595.45049999
280,-855384.383899999,2158969.91100001
281,-853711.773200001,2157952.7208
282,-852842.476700002,2157564.952
283,-852967.8543,2157578.7646
284,-852477.436799999,2157845.7781
285,-852479.252199999,2157399.0471
286,-852561.644000001,2157533.98049999
287,-851282.722100001,2157393.7229
288,-852095.2452,2157482.5583
289,-852210.5858,2157495.2732
290,-850292.837200001,2157285.8964
291,-849539.547500001,2157374.44739999
292,-850011.232999999,2157255.2189
293,-850226.2002,2157278.6435
294,-849033.669600002,2156859.45739999
295,-848988.029700001,2157143.7665
296,-848120.3013,2157049.2427
297,-846846.997899999,2156910.5319
298,-845984.608799999,2156013.06
299,-846782.8643,2156903.5441
300,-844792.641899999,2155588.9361
301,-845674.404400001,2153217.0057
302,-845533.704500001,2153018.8272
303,-843506.979400001,2150441.1285
304,-834069.7206,2144822.2065
305,-834846.745899999,2142465.3355
306,-834848.8124,2140689.6299
307,-836224.5511,2140586.9949
308,-839635.485,2138483.08870001
309,-842132.931399999,2134646.9987
310,-840754.656500003,2131071.15499999
311,-840614.4142,2130057.412
312,-845230.4045,2125669.23499999
313,-846320.492599999,2126393.914
314,-846921.276100002,2126606.57059999
315,-850509.2036,2116949.3455
316,-851068.601900001,2113096.23339999
317,-870915.618600001,2159569.5782
318,-871007.7606,2159579.8625
319,-870759.5694,2159552.1549
320,-888192.870599999,2167078.24570001
321,-885728.8799,2165944.25099999
322,-884776.8786,2165790.2526
323,-882872.8794,2163760.2464
324,-881794.8693,2163396.25360001
325,-878730.5636,2161490.5522
326,-878425.8082,2160415.8599
327,-877384.8839,2160316.2472
328,-877384.879500001,2160298.30249999
329,-829330.019200001,2153822.4141
330,-832032.9454,2153529.75090001
331,-827590.981400001,2154836.60759999
332,-826970.287700001,2160361.0543
333,-825821.3804,2169084.62460001
334,-825305.163000001,2171324.48459999
335,-825536.4714,2173669.9716
336,-826880.430199999,2177881.26510001
337,-827994.035299999,2183172.53110001
338,-829396.509499999,2184678.21520001
339,-829905.853800001,2186157.7933
340,-831157.213800001,2186893.5094
341,-831166.017000002,2187879.65599999
342,-829869.417300001,2189299.8933
