"","RepeatID","PU"
"1",1,"GREEN"
"2",2,"PLAT"
"3",3,"GREEN"
"4",4,"GREEN"
"5",5,"GREEN"
"6",6,"GREEN"
"7",7,"GREEN"
"8",8,"GREEN"
"9",9,"YELL"
"10",10,"YELL"
"11",11,"GREEN"
"12",12,"YELL"
"13",14,"UPMO"
"14",15,"UPMO"
"15",16,"UPMO"
"16",17,"PLAT"
"17",19,"PLAT"
"18",20,"PLAT"
"19",21,"PLAT"
"20",22,"YELL"
"21",23,"YELL"
"22",24,"GREEN"
"23",25,"GREEN"
"24",26,"PLAT"
"25",27,"YELL"
"26",28,"YELL"
"27",29,"YELL"
"28",30,"YELL"
"29",31,"YELL"
"30",32,"YELL"
"31",33,"YELL"
"32",34,"YELL"
"33",35,"YELL"
"34",36,"YELL"
"35",37,"YELL"
"36",38,"YELL"
"37",39,"YELL"
"38",40,"YELL"
"39",41,"PLAT"
"40",42,"CHEY"
"41",43,"YELL"
"42",44,"UPMO"
"43",45,"UPMO"
"44",46,"CHEY"
"45",47,"UPMO"
"46",48,"YELL"
"47",49,"YELL"
"48",50,"YELL"
"49",51,"YELL"
"50",52,"YELL"
"51",53,"GREEN"
"52",54,"GREEN"
"53",55,"YELL"
"54",56,"YELL"
"55",57,"GREEN"
"56",58,"GREEN"
"57",59,"GREEN"
"58",60,"CHEY"
"59",61,"CHEY"
"60",62,"UPMO"
"61",63,"CHEY"
"62",64,"CHEY"
"63",65,"CHEY"
"64",67,"UPMO"
"65",70,"GREEN"
"66",71,"PLAT"
"67",73,"GREEN"
"68",74,"UPMO"
"69",75,"GREEN"
"70",76,"GREEN"
"71",77,"GREEN"
"72",78,"GREEN"
"73",79,"GREEN"
"74",80,"GREEN"
"75",81,"GREEN"
"76",82,"GREEN"
"77",83,"GREEN"
"78",84,"GREEN"
"79",85,"GREEN"
"80",86,"GREEN"
"81",87,"GREEN"
"82",88,"PLAT"
"83",89,"PLAT"
"84",90,"PLAT"
"85",91,"YELL"
"86",92,"YELL"
"87",93,"YELL"
"88",94,"CHEY"
"89",95,"CHEY"
"90",96,"CHEY"
"91",97,"CHEY"
"92",98,"PLAT"
"93",99,"UPMO"
"94",100,"YELL"
"95",101,"YELL"
"96",102,"YELL"
"97",103,"YELL"
"98",104,"YELL"
"99",105,"GREEN"
"100",106,"UPMO"
"101",108,"YELL"
"102",109,"PLAT"
"103",110,"PLAT"
"104",111,"PLAT"
"105",112,"PLAT"
"106",113,"GREEN"
"107",114,"YELL"
"108",115,"GREEN"
"109",116,"GREEN"
"110",117,"GREEN"
"111",118,"GREEN"
"112",119,"GREEN"
"113",120,"GREEN"
"114",121,"GREEN"
"115",122,"GREEN"
"116",123,"PLAT"
"117",124,"PLAT"
"118",125,"PLAT"
"119",126,"PLAT"
"120",127,"PLAT"
"121",128,"PLAT"
"122",129,"PLAT"
"123",130,"PLAT"
"124",131,"PLAT"
"125",132,"PLAT"
"126",133,"PLAT"
"127",134,"PLAT"
"128",135,"PLAT"
"129",136,"CHEY"
"130",137,"CHEY"
"131",138,"UPMO"
"132",139,"GREEN"
"133",140,"GREEN"
"134",142,"GREEN"
"135",143,"GREEN"
"136",144,"GREEN"
"137",145,"GREEN"
"138",146,"GREEN"
"139",147,"GREEN"
"140",150,"GREEN"
"141",153,"GREEN"
"142",154,"GREEN"
"143",155,"LTMO"
"144",156,"LTMO"
"145",157,"PLAT"
"146",158,"PLAT"
"147",159,"GREEN"
"148",160,"LTMO"
"149",161,"LTMO"
"150",162,"LTMO"
"151",163,"LTMO"
"152",164,"YELL"
"153",165,"YELL"
"154",166,"YELL"
"155",167,"YELL"
"156",168,"GREEN"
"157",169,"GREEN"
"158",170,"PLAT"
"159",171,"PLAT"
"160",172,"PLAT"
"161",173,"PLAT"
"162",174,"CHEY"
"163",175,"PLAT"
"164",176,"PLAT"
"165",177,"PLAT"
"166",178,"PLAT"
"167",179,"PLAT"
"168",180,"PLAT"
"169",182,"PLAT"
"170",183,"PLAT"
"171",184,"PLAT"
"172",185,"PLAT"
"173",186,"PLAT"
"174",187,"PLAT"
"175",188,"PLAT"
"176",189,"PLAT"
"177",191,"PLAT"
"178",192,"PLAT"
"179",193,"PLAT"
"180",194,"PLAT"
"181",195,"UPMO"
"182",197,"GREEN"
"183",198,"PLAT"
"184",199,"GREEN"
"185",200,"GREEN"
"186",201,"GREEN"
"187",204,"UPMO"
"188",205,"UPMO"
"189",206,"UPMO"
"190",207,"UPMO"
"191",208,"UPMO"
"192",209,"UPMO"
"193",210,"GREEN"
"194",211,"GREEN"
"195",212,"UPMO"
"196",213,"UPMO"
"197",214,"UPMO"
"198",215,"UPMO"
"199",216,"UPMO"
"200",217,"UPMO"
"201",218,"UPMO"
"202",219,"PLAT"
"203",220,"PLAT"
"204",221,"PLAT"
"205",222,"PLAT"
"206",223,"YELL"
"207",224,"YELL"
"208",225,"YELL"
"209",226,"YELL"
"210",228,"PLAT"
"211",229,"YELL"
"212",230,"YELL"
"213",231,"PLAT"
"214",232,"PLAT"
"215",233,"UPMO"
"216",234,"UPMO"
"217",235,"GREEN"
"218",236,"UPMO"
"219",237,"UPMO"
"220",238,"UPMO"
"221",239,"GREEN"
"222",240,"GREEN"
"223",241,"PLAT"
"224",242,"PLAT"
"225",243,"PLAT"
"226",244,"PLAT"
"227",245,"PLAT"
"228",246,"PLAT"
"229",247,"PLAT"
"230",248,"PLAT"
"231",249,"PLAT"
"232",250,"PLAT"
"233",251,"YELL"
"234",252,"UPMO"
"235",253,"GREEN"
"236",254,"GREEN"
"237",255,"YELL"
"238",256,"CHEY"
"239",257,"YELL"
"240",258,"YELL"
"241",259,"PLAT"
"242",260,"PLAT"
"243",261,"CHEY"
"244",262,"YELL"
"245",263,"YELL"
"246",264,"YELL"
"247",265,"YELL"
"248",266,"YELL"
"249",267,"YELL"
"250",268,"YELL"
"251",269,"YELL"
"252",270,"YELL"
"253",271,"YELL"
"254",272,"YELL"
"255",273,"PLAT"
"256",274,"YELL"
"257",275,"YELL"
"258",276,"YELL"
"259",277,"UPMO"
"260",278,"CHEY"
"261",279,"GREEN"
"262",280,"GREEN"
"263",281,"GREEN"
"264",282,"YELL"
"265",283,"PLAT"
"266",284,"GREEN"
"267",285,"CHEY"
"268",286,"CHEY"
"269",287,"CHEY"
"270",288,"CHEY"
"271",289,"CHEY"
"272",290,"CHEY"
"273",291,"CHEY"
"274",292,"CHEY"
"275",293,"CHEY"
"276",294,"CHEY"
"277",295,"CHEY"
"278",296,"CHEY"
"279",297,"CHEY"
"280",298,"CHEY"
"281",299,"CHEY"
"282",300,"CHEY"
"283",301,"CHEY"
"284",302,"CHEY"
"285",303,"CHEY"
"286",304,"CHEY"
"287",305,"CHEY"
"288",306,"CHEY"
"289",307,"CHEY"
"290",308,"CHEY"
"291",309,"CHEY"
"292",310,"CHEY"
"293",311,"CHEY"
"294",312,"CHEY"
"295",313,"CHEY"
"296",315,"CHEY"
"297",316,"CHEY"
"298",317,"CHEY"
"299",318,"CHEY"
"300",319,"CHEY"
"301",320,"CHEY"
"302",321,"PLAT"
"303",322,"PLAT"
"304",323,"PLAT"
"305",324,"YELL"
"306",325,"GREEN"
"307",327,"CHEY"
"308",328,"YELL"
"309",329,"LTMO"
"310",330,"UPMO"
"311",331,"UPMO"
"312",332,"GREEN"
"313",333,"GREEN"
"314",334,"GREEN"
"315",335,"YELL"
"316",336,"UPMO"
"317",337,"YELL"
"318",338,"YELL"
"319",339,"UPMO"
"320",340,"GREEN"
"321",341,"UPMO"
"322",342,"YELL"
"323",343,"GREEN"
"324",344,"CHEY"
"325",345,"YELL"
"326",346,"UPMO"
"327",347,"UPMO"
"328",348,"UPMO"
"329",349,"YELL"
"330",350,"LTMO"
"331",351,"YELL"
"332",352,"YELL"
"333",353,"UPMO"
"334",354,"UPMO"
"335",355,"GREEN"
"336",356,"UPMO"
"337",357,"UPMO"
"338",358,"YELL"
"339",359,"YELL"
"340",360,"UPMO"
"341",361,"YELL"
"342",362,"YELL"
"343",363,"UPMO"
"344",364,"GREEN"
"345",365,"YELL"
"346",366,"GREEN"
"347",367,"YELL"
"348",368,"UPMO"
"349",369,"LTMO"
"350",370,"GREEN"
"351",371,"GREEN"
"352",372,"LTMO"
"353",373,"GREEN"
"354",374,"PLAT"
"355",375,"UPMO"
"356",376,"GREEN"
"357",377,"YELL"
"358",378,"UPMO"
"359",379,"YELL"
"360",380,"GREEN"
"361",381,"YELL"
"362",382,"GREEN"
"363",383,"PLAT"
"364",384,"YELL"
"365",385,"UPMO"
"366",386,"YELL"
"367",387,"UPMO"
"368",388,"GREEN"
"369",389,"GREEN"
"370",390,"YELL"
"371",391,"UPMO"
"372",392,"GREEN"
"373",393,"LTMO"
"374",395,"UPMO"
"375",396,"UPMO"
"376",397,"UPMO"
"377",398,"UPMO"
"378",399,"UPMO"
"379",400,"UPMO"
"380",401,"UPMO"
"381",402,"UPMO"
"382",403,"UPMO"
"383",404,"UPMO"
"384",405,"YELL"
"385",406,"UPMO"
"386",407,"UPMO"
"387",408,"UPMO"
"388",409,"UPMO"
"389",410,"UPMO"
"390",411,"UPMO"
"391",412,"UPMO"
"392",413,"UPMO"
"393",414,"LTMO"
"394",415,"PLAT"
"395",416,"UPMO"
"396",417,"UPMO"
"397",418,"UPMO"
"398",419,"UPMO"
"399",420,"UPMO"
"400",421,"UPMO"
"401",422,"UPMO"
"402",423,"PLAT"
"403",424,"CHEY"
"404",425,"CHEY"
"405",426,"CHEY"
"406",427,"CHEY"
"407",428,"CHEY"
"408",429,"YELL"
"409",430,"YELL"
"410",431,"YELL"
"411",432,"YELL"
"412",433,"YELL"
"413",434,"YELL"
"414",435,"LTMO"
"415",436,"YELL"
"416",438,"UPMO"
"417",439,"UPMO"
"418",440,"CHEY"
"419",441,"YELL"
"420",442,"YELL"
"421",443,"YELL"
"422",444,"YELL"
"423",445,"UPMO"
"424",446,"UPMO"
"425",447,"UPMO"
"426",448,"UPMO"
"427",449,"UPMO"
"428",450,"UPMO"
"429",451,"PLAT"
"430",452,"PLAT"
"431",453,"PLAT"
"432",454,"PLAT"
"433",455,"PLAT"
"434",457,"PLAT"
"435",460,"PLAT"
"436",461,"PLAT"
"437",462,"PLAT"
