Species,Temperature,Barriers,Fragment Length,Flow Permanence,Stream Size,Piscivores,Agriculture
Brassy Minnow,-0.114,1.202*,1.178*,0.532,0.565,-0.201,0.461
Brook Trout,-1.140*,0.717,-0.421,-0.899,0.666,-0.044,-0.483
Brown Trout,-0.614*,0.061,0.39,0.101,-0.331,NA,0.252
Channel Catfish,-1.596*,0.022,0.364,-0.393,0.313,-1.005,-0.077
Common Carp,0.657*,0.545,0.188,-0.202,-0.49,0.254,-0.281
Creek Chub,-0.722*,-0.042,-0.323,0.540*,0.164,-0.109,-0.199
Fathead Minnow,0.369*,0.201,0.690*,0.08,-0.395*,0.02,-0.199
Flathead Chub,0.454,-0.704*,0.197,0.511*,0.135,-0.573*,-0.740*
Green Sunfish,-0.223,-0.026,-0.325,0.15,0.42,NA,0.504
Lake Chub,0.349,0.123,-0.219,0.186,-0.129,-0.465,-0.044
Longnose Dace,-0.353*,0.244,-0.06,-0.273,0.299,-0.351*,-0.353*
Longnose Sucker,-1.246*,0.381,-0.085,-0.631*,0.711*,0.478*,-0.223
Plains Minnow,-0.66,0.189,-0.415,-0.01,0.421,-0.03,-0.291
Plains Sucker,-0.294,-0.412,0.273,-0.276,0.138,-0.271,-0.261
Rainbow Trout,-0.091,0.07,-0.023,-0.418,0.523,-0.04,-0.252
River Carpsucker,-1.485*,0.691,2.937*,0.153,-0.716,-0.22,-0.342
Sand Shiner,0.265,-0.003,1.495*,0.051,-0.01,-0.265,-0.459*
Shorthead Redhorse,0.318,7.168,0.101,-0.299,-0.578,-0.396,-0.197
Stonecat,0.059,0.252,0.025,0.078,0.365,0.188,-0.088
White Sucker,0.041,0.297,0.049,0.25,0.125,0.188,-0.357*
# species for which variable is significant,9,2,4,3,2,2,4
# species for which top predictor,7,3,3,0,2,1,4
# species for which negative relationship,12,4,8,9,7,13,17
# species for which positive relationship,8,16,12,11,13,5,3
