"species","temp","barrier","length","prosper","size","pisc","AIC"
"BRMN","5(-)","2(+)*","1(+)*","4(+)","3(+)","6(-)",63.63
"CARP","1(+)*","2(+)*","5(+)","6(-)","3(-)","4(+)",87.3
"CCAT","1(-)*","6(+)","4(+)","3(-)","5(+)","2(-)",38.02
"CRCH","1(-)*","6(-)","3(-)","2(+)*","5(+)","4(-)",108.55
"EB","1(-)*","3(+)","4(-)","2(-)*","5(+)","6(+)",48.95
"FHCH","2(+)*","1(-)*","5(+)","4(+)","6(+)","3(-)*",85.27
"FHMN","3(+)*","4(+)","1(+)*","5(+)","2(-)*","6(-)",207.48
"GSUN","3(-)","5(-)","2(-)","4(+)","1(+)",NA,103.81
"LKCH","2(+)","6(+)","3(-)","4(+)","5(-)","1(-)",76.07
"LL","1(-)*","5(+)","2(+)","4(+)","3(-)",NA,83.11
"LNDC","1(-)*","4(+)*","6(+)","3(-)*","5(+)","2(-)*",232.41
"LNSU","1(-)*","5(+)","6(-)","3(-)*","2(+)*","4(+)*",107.46
"PLMN","1(-)","4(+)","2(-)","5(-)","3(+)","6(-)",68.33
"PLSU","4(-)","1(-)","3(+)","2(-)","6(+)","5(-)",86.27
"RB","3(-)","4(+)","6(-)","1(-)","2(+)","5(+)",78.53
"RCSU","2(-)*","4(+)","1(+)*","6(+)","3(-)","5(-)",46.24
"SCAT","4(+)","2(+)","6(+)","5(+)","1(+)","3(+)",75.82
"SDSH","3(+)","5(+)","1(+)*","6(+)","4(+)","2(-)",99.12
"SHRH","5(+)","1(+)","6(+)","4(-)","2(-)","3(-)",57.03
"WSU","6(+)","1(+)*","5(+)","2(+)","4(+)","3(+)",246.49
