"","Species","net","EarlyNum","LateNum","propChange","sites"
"1","BRMN",-13,39,26,0.666666666666667,52
"2","BRSB",-7,21,14,0.666666666666667,27
"3","CARP",11,56,67,1.19642857142857,91
"4","CCAT",21,15,36,2.4,42
"5","CMSH",5,15,20,1.33333333333333,23
"6","CRCH",0,87,87,1,109
"7","EB",0,35,35,1,48
"8","FHCH",-19,54,35,0.648148148148148,61
"9","FHMN",-23,134,111,0.828358208955224,165
"10","FMSU",-13,34,21,0.617647058823529,36
"11","GE",8,10,18,1.8,23
"12","GSUN",-6,49,43,0.877551020408163,72
"13","IOWA",-2,15,13,0.866666666666667,25
"14","JDT",2,15,17,1.13333333333333,24
"15","LKCH",-12,36,24,0.666666666666667,47
"16","LL",9,78,87,1.11538461538462,102
"17","LNDC",-34,169,135,0.798816568047337,192
"18","LNSU",-28,76,48,0.631578947368421,89
"19","MOTCOT",-9,36,27,0.75,40
"20","MTSU",-2,43,41,0.953488372093023,59
"21","MWF",3,14,17,1.21428571428571,24
"22","NP",2,13,15,1.15384615384615,22
"23","NRBDC",-10,19,9,0.473684210526316,21
"24","PLMN",-20,36,16,0.444444444444444,45
"25","PLSU",-15,48,33,0.6875,58
"26","RB",-1,48,47,0.979166666666667,69
"27","RCSU",12,21,33,1.57142857142857,43
"28","RSSH",-4,46,42,0.91304347826087,56
"29","RTCH",-2,20,18,0.9,26
"30","SCAT",13,32,45,1.40625,59
"31","SDSH",8,69,77,1.11594202898551,97
"32","SHRH",11,23,34,1.47826086956522,46
"33","SMB",17,4,21,5.25,23
"34","SPDC",-16,66,50,0.757575757575758,71
"35","STR",6,18,24,1.33333333333333,25
"36","WSU",-17,187,170,0.909090909090909,222
