RepeatID,Ecoregion,Pubasin
247,NORTH AMERICAN DESERTS,PLAT
123,NORTH AMERICAN DESERTS,PLAT
124,NORTHWESTERN FORESTED MOUNTAINS,PLAT
322,NORTH AMERICAN DESERTS,PLAT
383,NORTH AMERICAN DESERTS,PLAT
374,NORTH AMERICAN DESERTS,PLAT
26,NORTH AMERICAN DESERTS,PLAT
157,NORTH AMERICAN DESERTS,PLAT
2,NORTH AMERICAN DESERTS,PLAT
128,NORTH AMERICAN DESERTS,PLAT
194,NORTH AMERICAN DESERTS,PLAT
17,NORTH AMERICAN DESERTS,PLAT
20,NORTH AMERICAN DESERTS,PLAT
21,NORTH AMERICAN DESERTS,PLAT
109,GREAT PLAINS,PLAT
110,GREAT PLAINS,PLAT
112,GREAT PLAINS,PLAT
111,GREAT PLAINS,PLAT
89,NORTHWESTERN FORESTED MOUNTAINS,PLAT
88,GREAT PLAINS,PLAT
90,NORTHWESTERN FORESTED MOUNTAINS,PLAT
170,GREAT PLAINS,PLAT
260,GREAT PLAINS,PLAT
273,GREAT PLAINS,PLAT
259,GREAT PLAINS,PLAT
180,NORTH AMERICAN DESERTS,PLAT
323,NORTH AMERICAN DESERTS,PLAT
175,NORTH AMERICAN DESERTS,PLAT
182,NORTH AMERICAN DESERTS,PLAT
183,NORTH AMERICAN DESERTS,PLAT
176,NORTHWESTERN FORESTED MOUNTAINS,PLAT
184,GREAT PLAINS,PLAT
245,GREAT PLAINS,PLAT
243,NORTHWESTERN FORESTED MOUNTAINS,PLAT
241,NORTH AMERICAN DESERTS,PLAT
244,NORTH AMERICAN DESERTS,PLAT
185,GREAT PLAINS,PLAT
179,GREAT PLAINS,PLAT
178,NORTHWESTERN FORESTED MOUNTAINS,PLAT
177,NORTHWESTERN FORESTED MOUNTAINS,PLAT
98,GREAT PLAINS,PLAT
172,GREAT PLAINS,PLAT
129,GREAT PLAINS,PLAT
127,GREAT PLAINS,PLAT
130,GREAT PLAINS,PLAT
131,GREAT PLAINS,PLAT
41,GREAT PLAINS,PLAT
132,GREAT PLAINS,PLAT
134,GREAT PLAINS,PLAT
126,GREAT PLAINS,PLAT
133,GREAT PLAINS,PLAT
125,GREAT PLAINS,PLAT
460,GREAT PLAINS,PLAT
461,GREAT PLAINS,PLAT
457,GREAT PLAINS,PLAT
451,GREAT PLAINS,PLAT
462,GREAT PLAINS,PLAT
455,GREAT PLAINS,PLAT
454,GREAT PLAINS,PLAT
453,GREAT PLAINS,PLAT
452,GREAT PLAINS,PLAT
71,NORTHWESTERN FORESTED MOUNTAINS,PLAT
191,GREAT PLAINS,PLAT
192,GREAT PLAINS,PLAT
189,GREAT PLAINS,PLAT
187,GREAT PLAINS,PLAT
198,GREAT PLAINS,PLAT
188,GREAT PLAINS,PLAT
193,GREAT PLAINS,PLAT
340,NORTH AMERICAN DESERTS,GREEN
119,NORTH AMERICAN DESERTS,GREEN
211,NORTHWESTERN FORESTED MOUNTAINS,GREEN
8,NORTH AMERICAN DESERTS,GREEN
376,NORTH AMERICAN DESERTS,GREEN
364,NORTH AMERICAN DESERTS,GREEN
371,NORTH AMERICAN DESERTS,GREEN
6,NORTH AMERICAN DESERTS,GREEN
7,NORTHWESTERN FORESTED MOUNTAINS,GREEN
380,NORTH AMERICAN DESERTS,GREEN
325,NORTHWESTERN FORESTED MOUNTAINS,GREEN
284,NORTHWESTERN FORESTED MOUNTAINS,GREEN
73,NORTHWESTERN FORESTED MOUNTAINS,GREEN
11,NORTH AMERICAN DESERTS,GREEN
210,NORTH AMERICAN DESERTS,GREEN
1,NORTH AMERICAN DESERTS,GREEN
24,NORTH AMERICAN DESERTS,GREEN
254,NORTH AMERICAN DESERTS,GREEN
105,NORTH AMERICAN DESERTS,GREEN
239,NORTH AMERICAN DESERTS,GREEN
70,NORTH AMERICAN DESERTS,GREEN
366,NORTH AMERICAN DESERTS,GREEN
382,NORTH AMERICAN DESERTS,GREEN
373,NORTH AMERICAN DESERTS,GREEN
54,NORTH AMERICAN DESERTS,GREEN
53,NORTH AMERICAN DESERTS,GREEN
370,NORTH AMERICAN DESERTS,GREEN
343,NORTH AMERICAN DESERTS,GREEN
392,NORTH AMERICAN DESERTS,GREEN
389,NORTH AMERICAN DESERTS,GREEN
154,NORTH AMERICAN DESERTS,GREEN
58,NORTH AMERICAN DESERTS,GREEN
57,NORTH AMERICAN DESERTS,GREEN
59,NORTH AMERICAN DESERTS,GREEN
84,NORTH AMERICAN DESERTS,GREEN
86,NORTH AMERICAN DESERTS,GREEN
81,NORTH AMERICAN DESERTS,GREEN
143,NORTH AMERICAN DESERTS,GREEN
144,NORTH AMERICAN DESERTS,GREEN
153,NORTH AMERICAN DESERTS,GREEN
145,NORTH AMERICAN DESERTS,GREEN
146,NORTH AMERICAN DESERTS,GREEN
142,NORTH AMERICAN DESERTS,GREEN
25,NORTH AMERICAN DESERTS,GREEN
77,NORTH AMERICAN DESERTS,GREEN
83,NORTH AMERICAN DESERTS,GREEN
85,NORTH AMERICAN DESERTS,GREEN
76,NORTH AMERICAN DESERTS,GREEN
78,NORTH AMERICAN DESERTS,GREEN
80,NORTH AMERICAN DESERTS,GREEN
79,NORTH AMERICAN DESERTS,GREEN
87,NORTH AMERICAN DESERTS,GREEN
75,NORTH AMERICAN DESERTS,GREEN
5,NORTH AMERICAN DESERTS,GREEN
3,NORTH AMERICAN DESERTS,GREEN
333,NORTH AMERICAN DESERTS,GREEN
150,NORTH AMERICAN DESERTS,GREEN
4,NORTH AMERICAN DESERTS,GREEN
82,NORTH AMERICAN DESERTS,GREEN
147,NORTH AMERICAN DESERTS,GREEN
159,NORTH AMERICAN DESERTS,GREEN
235,NORTH AMERICAN DESERTS,GREEN
388,NORTH AMERICAN DESERTS,GREEN
355,NORTH AMERICAN DESERTS,GREEN
199,NORTH AMERICAN DESERTS,GREEN
200,NORTH AMERICAN DESERTS,GREEN
201,NORTH AMERICAN DESERTS,GREEN
334,NORTH AMERICAN DESERTS,GREEN
168,NORTH AMERICAN DESERTS,GREEN
169,NORTH AMERICAN DESERTS,GREEN
